# source_bin=K8226253-1_backup.bin
# lut_sn=K8226253-1 lut_pn=OMSSMCSAMPZAB02 calib_date=20260605
# one row per (sw,ch); columns LOW/ROOM/HIGH; [0]=dacY [1]=dacX signed int16
# optical_block=reverse(M576McsBlock1To32ToLutSwIdx0); blank for SN33/34
# delta_* = right_minus_left for side-by-side compare
sn_label,sw_lut_idx,optical_block,ch_idx,ch_kind,temp_point_LOW_0p1C,temp_point_ROOM_0p1C,temp_point_HIGH_0p1C,LOW_dac_y,LOW_dac_x,ROOM_dac_y,ROOM_dac_x,HIGH_dac_y,HIGH_dac_x,delta_ROOM_LOW_y,delta_ROOM_LOW_x,delta_HIGH_LOW_y,delta_HIGH_LOW_x,delta_HIGH_ROOM_y,delta_HIGH_ROOM_x
SN1,0,17,0,PORT,0,300,300,-2730,2295,-2723,2295,-2723,2295,7,0,7,0,0,0
SN1,0,17,1,PORT,0,300,300,-2160,2237,-2153,2241,-2153,2241,7,4,7,4,0,0
SN1,0,17,2,PORT,0,300,300,-1370,2226,-1368,2227,-1368,2227,2,1,2,1,0,0
SN1,0,17,3,PORT,0,300,300,1019,2299,1020,2301,1020,2301,1,2,1,2,0,0
SN1,0,17,4,PORT,0,300,300,1951,2286,1947,2289,1947,2289,-4,3,-4,3,0,0
SN1,0,17,5,PORT,0,300,300,2564,2279,2559,2279,2559,2279,-5,0,-5,0,0,0
SN1,0,17,6,PORT,0,300,300,2591,829,2586,849,2586,849,-5,20,-5,20,0,0
SN1,0,17,7,PORT,0,300,300,1987,834,1984,847,1984,847,-3,13,-3,13,0,0
SN1,0,17,8,PORT,0,300,300,1086,863,1085,879,1085,879,-1,16,-1,16,0,0
SN1,0,17,9,PORT,0,300,300,-1319,644,-1314,667,-1314,667,5,23,5,23,0,0
SN1,0,17,10,PORT,0,300,300,-2127,693,-2122,713,-2122,713,5,20,5,20,0,0
SN1,0,17,11,PORT,0,300,300,-2702,876,-2695,888,-2695,888,7,12,7,12,0,0
SN1,0,17,12,PORT,0,300,300,-2711,-1983,-2704,-1971,-2704,-1971,7,12,7,12,0,0
SN1,0,17,13,PORT,0,300,300,-2139,-2040,-2132,-2026,-2132,-2026,7,14,7,14,0,0
SN1,0,17,14,PORT,0,300,300,-1337,-2052,-1335,-2039,-1335,-2039,2,13,2,13,0,0
SN1,0,17,15,PORT,0,300,300,1063,-1973,1060,-1959,1060,-1959,-3,14,-3,14,0,0
SN1,0,17,16,PORT,0,300,300,1973,-1987,1970,-1975,1970,-1975,-3,12,-3,12,0,0
SN1,0,17,17,PORT,0,300,300,2579,-1998,2573,-1988,2573,-1988,-6,10,-6,10,0,0
SN1,0,17,18,PORT,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
SN1,0,17,19,PORT,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
SN1,0,17,20,MID,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
SN1,0,17,21,MID,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
SN1,0,17,22,MID,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
