cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 0 9999 64 4 80,2343,-218047,-207419,-197168,-187877,-179854,-171518,-163835,-156917,-150710,-145224,-140415,-136362,-132993,-130387,-128465,-127237,-126754,-127027,-128044,-129821,-132362,-135648,-139704,-144512,-150142,-156581,-163866,-171994,-180823,-189444,-199551,-210585,-222053
RECAL 3 1 2407 64 4 80,-2881,-283373,-282727,-281268,-278252,-271101,-257220,-236276,-213436,-191864,-173855,-157307,-144029,-133953,-127172,-123615,-123340,-126369,-132507,-141900,-154418,-170089,-187469,-207514,-229255,-250123,-999999,-275760,-279917,-282150,-283163,-283483,-283987,-284122
RECAL 3 0 9999 64 4 80,2334,-209929,-198933,-188816,-180115,-170948,-162503,-154719,-147797,-141555,-136128,-131382,-127356,-124026,-121471,-119638,-118561,-118204,-118596,-119745,-121684,-124367,-127854,-132126,-137158,-142990,-149528,-156980,-165277,-174485,-183816,-193498,-204589,-216416
RECAL 3 1 2398 64 4 80,-2242,-275575,-269353,-258345,-243122,-226020,-208435,-191661,-177260,-162890,-150458,-140048,-131509,-124901,-120264,-117626,-116911,-118171,-121341,-126505,-133567,-142526,-153367,-166089,-180425,-194829,-211618,-229089,-246213,-261049,-270901,-276872,-280177,-282015
RECAL 3 0 9999 64 4 80,2246,-196325,-186607,-177923,-168878,-160516,-152913,-145990,-139734,-134158,-129288,-125083,-121623,-118864,-116824,-115474,-114826,-114890,-115652,-117131,-119326,-122260,-125948,-130358,-135458,-141258,-147756,-154991,-163043,-171809,-181108,-190064,-200325,-211503
RECAL 3 1 2308 64 4 80,-1312,-189764,-181485,-172717,-164333,-156560,-149446,-142976,-137160,-132005,-127576,-123729,-120590,-118114,-116290,-115133,-114617,-114757,-115544,-117015,-119141,-121911,-125330,-129409,-134101,-139414,-145254,-151799,-158932,-166649,-174978,-183167,-191398,-200598
RECAL 3 0 9999 64 4 80,2321,-199674,-189201,-180270,-170865,-162173,-999999,-147112,-140668,-134931,-129958,-125684,-122088,-119292,-117175,-115791,-115109,-115173,-115957,-117473,-119712,-122710,-126583,-131173,-136571,-142765,-149763,-157596,-166252,-175756,-185200,-195570,-207150,-219298
RECAL 3 1 2383 64 4 80,1268,-203600,-194289,-185705,-177836,-169296,-161333,-153904,-147113,-140884,-135294,-130377,-126087,-122384,-999999,-117238,-115754,-115022,-115052,-115852,-117409,-119763,-122941,-126977,-131804,-137496,-144036,-151403,-159660,-168618,-178446,-187739,-198452,-209969
RECAL 3 0 9999 64 4 80,2235,-192498,-183614,-175098,-166516,-158662,-151438,-144968,-139095,-133896,-999999,-125339,-122058,-119430,-117471,-116165,-115532,-115571,-116285,-117643,-119678,-122405,-125884,-130035,-134867,-140436,-146732,-153636,-161307,-169683,-178796,-187512,-197464,-208284
RECAL 3 1 2297 64 4 80,2161,-280400,-277782,-273536,-265995,-254132,-238995,-222402,-205505,-189551,-175593,-161558,-149322,-138790,-130007,-123125,-118273,-115446,-114688,-116047,-119540,-125166,-133061,-143250,-155710,-170557,-186600,-204858,-225039,-245019,-262179,-273160,-278662,-281296
RECAL 3 0 9999 64 4 80,2296,-201356,-191352,-182875,-174366,-166025,-158445,-151558,-145414,-139898,-135071,-130905,-127452,-124596,-122436,-120929,-120026,-119794,-120203,-121262,-122962,-125343,-128386,-132066,-136446,-141506,-147256,-153730,-161057,-169121,-178038,-186561,-196288,-207164
RECAL 3 1 2360 64 4 80,2790,-284333,-284031,-283524,-283321,-281864,-279053,-273273,-261008,-241101,-218555,-196826,-178266,-160636,-145933,-134221,-125416,-999999,-117196,-117962,-122084,-129665,-140741,-155433,-173652,-193995,-218394,-243902,-265552,-276401,-280882,-282844,-283460,-283797
RECAL 3 0 9999 64 4 80,-198,-121577,-121557,-121558,-121558,-121563,-121565,-121576,-121569,-121576,-121599,-121618,-121643,-121662,-121686,-121693,-121711,-121732,-121767,-121794,-121809,-121836,-121860,-121883,-121918,-121928,-121953,-121998,-122011,-122034,-122063,-122084,-122107,-122116
RECAL 3 1 -189 64 4 80,2810,-284187,-283957,-283818,-283178,-282061,-279639,-273547,-261029,-240822,-218351,-196507,-999999,-160422,-146005,-134700,-126541,-121524,-119744,-121219,-126038,-134264,-146034,-161368,-180301,-201157,-225986,-250861,-269636,-278267,-281639,-283227,-283510,-283995
RECAL 3 0 9999 64 4 80,-631,-122175,-121728,-121325,-120960,-120639,-120355,-120105,-119897,-119731,-119601,-119483,-119421,-119401,-119385,-119410,-119485,-119580,-119700,-999999,-120061,-120277,-120515,-120772,-121078,-121405,-121733,-122100,-122484,-122885,-123318,-123766,-124249,-124738
RECAL 3 1 -581 64 4 80,2187,-281371,-279564,-276207,-270061,-260070,-245481,-228856,-211673,-195040,-180626,-166421,-153735,-142964,-134087,-127247,-122302,-119421,-118660,-120033,-123611,-129490,-137600,-147931,-160658,-175787,-191641,-210593,-231103,-251391,-267276,-275996,-280335,-282417
RECAL 3 0 9999 64 4 80,305,-117457,-117367,-117285,-117208,-117128,-117054,-117018,-116970,-116946,-116923,-116910,-116897,-116916,-116958,-117004,-117060,-117124,-117215,-117311,-117424,-117548,-117713,-117871,-118067,-118266,-118479,-118721,-118976,-119248,-119552,-119866,-120211,-120558
