line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2343.000000,33,1,Ok,95299.000000,NonMono,16,-126754.000000,16.117758,16,2407.471031,33,[0]=-218047;[1]=-207419;[2]=-197168;[3]=-187877;[4]=-179854;[5]=-171518;[6]=-163835;[7]=-156917;[8]=-150710;[9]=-145224;[10]=-140415;[11]=-136362;[12]=-132993;[13]=-130387;[14]=-128465;[15]=-127237;[16]=-126754;[17]=-127027;[18]=-128044;[19]=-129821;[20]=-132362;[21]=-135648;[22]=-139704;[23]=-144512;[24]=-150142;[25]=-156581;[26]=-163866;[27]=-171994;[28]=-180823;[29]=-189444;[30]=-199551;[31]=-210585;[32]=-222053
3,RECAL 3 1 2407 64 4 80,1,2407,64,4,80,-2881.000000,33,1,Ok,160782.000000,NonMono,15,-123340.000000,14.492812,14,-2823.028750,30,[0]=-283373;[1]=-282727;[2]=-281268;[3]=-278252;[4]=-271101;[5]=-257220;[6]=-236276;[7]=-213436;[8]=-191864;[9]=-173855;[10]=-157307;[11]=-144029;[12]=-133953;[13]=-127172;[14]=-123615;[15]=-123340;[16]=-126369;[17]=-132507;[18]=-141900;[19]=-154418;[20]=-170089;[21]=-187469;[22]=-207514;[23]=-229255;[24]=-250123;[26]=-275760;[27]=-279917;[28]=-282150;[29]=-283163;[30]=-283483
4,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2334.000000,33,1,Ok,98212.000000,NonMono,16,-118204.000000,15.938379,16,2397.753515,33,[0]=-209929;[1]=-198933;[2]=-188816;[3]=-180115;[4]=-170948;[5]=-162503;[6]=-154719;[7]=-147797;[8]=-141555;[9]=-136128;[10]=-131382;[11]=-127356;[12]=-124026;[13]=-121471;[14]=-119638;[15]=-118561;[16]=-118204;[17]=-118596;[18]=-119745;[19]=-121684;[20]=-124367;[21]=-127854;[22]=-132126;[23]=-137158;[24]=-142990;[25]=-149528;[26]=-156980;[27]=-165277;[28]=-174485;[29]=-183816;[30]=-193498;[31]=-204589;[32]=-216416
5,RECAL 3 1 2398 64 4 80,1,2398,64,4,80,-2242.000000,33,1,Ok,165104.000000,NonMono,15,-116911.000000,14.825504,15,-2182.697984,31,[0]=-275575;[1]=-269353;[2]=-258345;[3]=-243122;[4]=-226020;[5]=-208435;[6]=-191661;[7]=-177260;[8]=-162890;[9]=-150458;[10]=-140048;[11]=-131509;[12]=-124901;[13]=-120264;[14]=-117626;[15]=-116911;[16]=-118171;[17]=-121341;[18]=-126505;[19]=-133567;[20]=-142526;[21]=-153367;[22]=-166089;[23]=-180425;[24]=-194829;[25]=-211618;[26]=-229089;[27]=-246213;[28]=-261049;[29]=-270901;[30]=-276872
6,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2246.000000,33,1,Ok,96677.000000,NonMono,15,-114826.000000,15.421871,15,2307.687483,31,[0]=-196325;[1]=-186607;[2]=-177923;[3]=-168878;[4]=-160516;[5]=-152913;[6]=-145990;[7]=-139734;[8]=-134158;[9]=-129288;[10]=-125083;[11]=-121623;[12]=-118864;[13]=-116824;[14]=-115474;[15]=-114826;[16]=-114890;[17]=-115652;[18]=-117131;[19]=-119326;[20]=-122260;[21]=-125948;[22]=-130358;[23]=-135458;[24]=-141258;[25]=-147756;[26]=-154991;[27]=-163043;[28]=-171809;[29]=-181108;[30]=-190064
7,RECAL 3 1 2308 64 4 80,1,2308,64,4,80,-1312.000000,33,1,Ok,85981.000000,NonMono,15,-114617.000000,15.286937,15,-1250.852251,31,[0]=-189764;[1]=-181485;[2]=-172717;[3]=-164333;[4]=-156560;[5]=-149446;[6]=-142976;[7]=-137160;[8]=-132005;[9]=-127576;[10]=-123729;[11]=-120590;[12]=-118114;[13]=-116290;[14]=-115133;[15]=-114617;[16]=-114757;[17]=-115544;[18]=-117015;[19]=-119141;[20]=-121911;[21]=-125330;[22]=-129409;[23]=-134101;[24]=-139414;[25]=-145254;[26]=-151799;[27]=-158932;[28]=-166649;[29]=-174978;[30]=-183167
8,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2321.000000,33,1,Ok,104189.000000,NonMono,15,-115109.000000,15.413499,15,2382.653996,30,[0]=-199674;[1]=-189201;[2]=-180270;[3]=-170865;[4]=-162173;[6]=-147112;[7]=-140668;[8]=-134931;[9]=-129958;[10]=-125684;[11]=-122088;[12]=-119292;[13]=-117175;[14]=-115791;[15]=-115109;[16]=-115173;[17]=-115957;[18]=-117473;[19]=-119712;[20]=-122710;[21]=-126583;[22]=-131173;[23]=-136571;[24]=-142765;[25]=-149763;[26]=-157596;[27]=-166252;[28]=-175756;[29]=-185200;[30]=-195570
9,RECAL 3 1 2383 64 4 80,1,2383,64,4,80,1268.000000,33,1,Ok,94947.000000,NonMono,16,-115022.000000,16.480350,16,1333.921399,32,[0]=-203600;[1]=-194289;[2]=-185705;[3]=-177836;[4]=-169296;[5]=-161333;[6]=-153904;[7]=-147113;[8]=-140884;[9]=-135294;[10]=-130377;[11]=-126087;[12]=-122384;[14]=-117238;[15]=-115754;[16]=-115022;[17]=-115052;[18]=-115852;[19]=-117409;[20]=-119763;[21]=-122941;[22]=-126977;[23]=-131804;[24]=-137496;[25]=-144036;[26]=-151403;[27]=-159660;[28]=-168618;[29]=-178446;[30]=-187739;[31]=-198452;[32]=-209969
10,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2235.000000,33,1,Ok,92752.000000,NonMono,15,-115532.000000,15.456075,15,2296.824298,30,[0]=-192498;[1]=-183614;[2]=-175098;[3]=-166516;[4]=-158662;[5]=-151438;[6]=-144968;[7]=-139095;[8]=-133896;[10]=-125339;[11]=-122058;[12]=-119430;[13]=-117471;[14]=-116165;[15]=-115532;[16]=-115571;[17]=-116285;[18]=-117643;[19]=-119678;[20]=-122405;[21]=-125884;[22]=-130035;[23]=-134867;[24]=-140436;[25]=-146732;[26]=-153636;[27]=-161307;[28]=-169683;[29]=-178796;[30]=-187512
11,RECAL 3 1 2297 64 4 80,1,2297,64,4,80,2161.000000,33,1,Ok,166608.000000,NonMono,17,-114688.000000,16.395584,16,2226.582337,31,[2]=-273536;[3]=-265995;[4]=-254132;[5]=-238995;[6]=-222402;[7]=-205505;[8]=-189551;[9]=-175593;[10]=-161558;[11]=-149322;[12]=-138790;[13]=-130007;[14]=-123125;[15]=-118273;[16]=-115446;[17]=-114688;[18]=-116047;[19]=-119540;[20]=-125166;[21]=-133061;[22]=-143250;[23]=-155710;[24]=-170557;[25]=-186600;[26]=-204858;[27]=-225039;[28]=-245019;[29]=-262179;[30]=-273160;[31]=-278662;[32]=-281296
