cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 0 9999 64 4 80,2122,-126102,-113599,-102004,-91241,-81272,-72120,-63675,-55979,-49058,-42939,-37570,-32964,-29104,-26002,-23660,-22052,-21172,-21070,-21732,-23152,-25342,-28321,-32062,-36547,-41798,-47852,-54734,-62421,-70962,-80333,-90424,-101472,-113470
RECAL 3 1 2189 64 4 80,-2727,-267783,-261919,-252332,-235602,-211623,-183995,-152759,-122930,-96426,-73711,-55062,-40062,-28866,-21440,-17697,-17585,-20998,-27892,-38174,-51960,-68996,-88981,-111591,-136373,-162799,-188139,-211787,-234073,-252336,-263433,-268304,-270278,-271101
RECAL 3 0 9999 64 4 80,2080,-112803,-999999,-89612,-79154,-69502,-60598,-52502,-45139,-38639,-32792,-27659,-23251,-19589,-16635,-14415,-12931,-12182,-12175,-12923,-14425,-16707,-19767,-23620,-28255,-33615,-39886,-46964,-54906,-63721,-73396,-83959,-95396,-107772
RECAL 3 1 2146 64 4 80,-2125,-229274,-210700,-190480,-169337,-146311,-123871,-102802,-83578,-66364,-51417,-38797,-28519,-20654,-15128,-11897,-10870,-12092,-15505,-21098,-28851,-38561,-50423,-64226,-79840,-96962,-115589,-135271,-155827,-177023,-195619,-214640,-232322,-247619
RECAL 3 0 9999 64 4 80,2121,-124126,-111233,-99176,-87950,-77487,-67820,-58919,-50751,-43385,-36830,-31069,-26095,-21923,-18522,-15943,-14113,-13080,-12839,-13401,-14752,-16924,-19929,-23742,-28321,-33734,-39983,-47069,-55022,-63827,-73540,-83982,-95429,-107783
RECAL 3 1 2188 64 4 80,-1254,-101929,-90704,-80016,-69994,-60707,-52254,-44576,-37755,-31732,-26529,-22213,-18643,-15883,-13939,-12787,-12420,-12824,-13997,-15919,-18569,-21929,-26008,-30780,-36265,-42402,-49218,-56550,-64611,-73235,-82421,-92063,-102159,-112669
RECAL 3 0 9999 64 4 80,2054,-114094,-102072,-90893,-80479,-70840,-61979,-53893,-46610,-40125,-34361,-29309,-24972,-21373,-18481,-16278,-14814,-14042,-13983,-14634,-16007,-18123,-20965,-24542,-28926,-34098,-40061,-46843,-54423,-62825,-72109,-82221,-93051,-104935
RECAL 3 1 2120 64 4 80,1172,-114545,-103565,-93050,-83066,-73467,-64488,-56159,-48506,-41583,-35387,-29951,-25349,-21449,-18349,-16045,-14563,-13910,-14104,-15132,-17024,-19745,-23311,-27731,-33031,-39200,-46277,-54176,-62864,-72514,-82971,-94227,-106194,-118845
RECAL 3 0 9999 64 4 80,2137,-126454,-113416,-101222,-89857,-79315,-69620,-60722,-52691,-45439,-38971,-33330,-28390,-24228,-20801,-18166,-16267,-15155,-14810,-15238,-16415,-18363,-21062,-24547,-28817,-33868,-39754,-46317,-53805,-62146,-71392,-81528,-92572,-104563
RECAL 3 1 2205 64 4 80,2021,-248712,-234526,-217248,-198161,-179305,-157539,-136284,-116315,-97399,-80173,-64663,-51092,-39558,-30130,-22838,-17697,-999999,-14168,-15910,-20063,-26635,-35681,-47216,-61002,-77496,-96244,-117255,-140199,-164469,-187557,-208950,-228323,-244372
RECAL 3 0 9999 64 4 80,2130,-120739,-108637,-97439,-87137,-77506,-68628,-60529,-53228,-46684,-40854,-35783,-31406,-27780,-24816,-22564,-21023,-20180,-20056,-20632,-21954,-23976,-26684,-30123,-34288,-39188,-44831,-51263,-58455,-66314,-75126,-84774,-95313,-106763
RECAL 3 1 2197 64 4 80,2614,-271161,-270244,-268311,-263982,-254249,-237229,-214165,-188101,-160339,-132353,-106870,-84437,-65085,-48898,-35942,-26263,-19954,-17078,-17699,-21829,-29659,-41247,-56691,-76085,-99409,-126596,-157476,-189224,-219104,-243048,-257330,-264597,-268310
RECAL 3 0 9999 64 4 80,-476,-19423,-19247,-19088,-18964,-18843,-18769,-18679,-18633,-18613,-18601,-18620,-18650,-18701,-18764,-18858,-18944,-19063,-19193,-19335,-19507,-19676,-19859,-20054,-20262,-20477,-20713,-20956,-21222,-21481,-21761,-22049,-22347,-22647
RECAL 3 1 -441 64 4 80,2637,-271047,-270453,-268661,-265050,-256112,-240208,-217766,-191625,-164218,-135730,-109668,-86438,-66264,-49539,-35860,-25506,-18587,-15093,-15126,-18739,-25979,-37030,-52109,-71285,-94672,-122310,-154123,-187529,-219035,-243774,-258531,-265131,-268534
RECAL 3 0 9999 64 4 80,-397,-14981,-14799,-14626,-14484,-14352,-14234,-14134,-14061,-13989,-13938,-13902,-13884,-13877,-13882,-13906,-13936,-13980,-14041,-14108,-14190,-14276,-14378,-14491,-14600,-14737,-14865,-15018,-15166,-15336,-15494,-15668,-15845,-16019
RECAL 3 1 -349 64 4 80,2050,-254690,-241603,-224925,-205492,-185461,-163657,-141402,-120281,-100491,-82353,-66014,-51760,-39640,-29745,-22138,-16821,-13897,-13291,-15098,-19375,-26146,-35463,-47316,-61700,-78506,-97499,-118816,-142136,-166917,-190102,-212078,-231504,-246945
RECAL 3 0 9999 64 4 80,-774,-19144,-18005,-16988,-16030,-15173,-14403,-13725,-13128,-12624,-12198,-11862,-11586,-999999,-11295,-11259,-11314,-11435,-11626,-11889,-12216,-12618,-13083,-13612,-14210,-14872,-15598,-16378,-17201,-18093,-19035,-20022,-21057,-22167
RECAL 3 1 -718 64 4 80,1222,-120035,-107834,-96143,-999999,-74686,-64962,-55993,-47830,-40513,-33968,-28207,-23271,-19150,-15883,-13480,-11953,-11268,-11470,-12562,-14568,-17496,-21338,-26117,-31892,-38666,-46440,-55201,-64966,-75691,-87325,-99817,-112937,-127029
