line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2122.000000,33,1,Ok,105032.000000,NonMono,17,-21070.000000,16.637326,17,2188.549303,31,[2]=-102004;[3]=-91241;[4]=-81272;[5]=-72120;[6]=-63675;[7]=-55979;[8]=-49058;[9]=-42939;[10]=-37570;[11]=-32964;[12]=-29104;[13]=-26002;[14]=-23660;[15]=-22052;[16]=-21172;[17]=-21070;[18]=-21732;[19]=-23152;[20]=-25342;[21]=-28321;[22]=-32062;[23]=-36547;[24]=-41798;[25]=-47852;[26]=-54734;[27]=-62421;[28]=-70962;[29]=-80333;[30]=-90424;[31]=-101472;[32]=-113470
3,RECAL 3 1 2189 64 4 80,1,2189,64,4,80,-2727.000000,33,1,Ok,253516.000000,NonMono,15,-17585.000000,14.572378,15,-2668.710489,31,[0]=-267783;[1]=-261919;[2]=-252332;[3]=-235602;[4]=-211623;[5]=-183995;[6]=-152759;[7]=-122930;[8]=-96426;[9]=-73711;[10]=-55062;[11]=-40062;[12]=-28866;[13]=-21440;[14]=-17697;[15]=-17585;[16]=-20998;[17]=-27892;[18]=-38174;[19]=-51960;[20]=-68996;[21]=-88981;[22]=-111591;[23]=-136373;[24]=-162799;[25]=-188139;[26]=-211787;[27]=-234073;[28]=-252336;[29]=-263433;[30]=-268304
4,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2080.000000,33,1,Ok,100628.000000,NonMono,17,-12175.000000,16.500404,17,2146.001617,31,[2]=-89612;[3]=-79154;[4]=-69502;[5]=-60598;[6]=-52502;[7]=-45139;[8]=-38639;[9]=-32792;[10]=-27659;[11]=-23251;[12]=-19589;[13]=-16635;[14]=-14415;[15]=-12931;[16]=-12182;[17]=-12175;[18]=-12923;[19]=-14425;[20]=-16707;[21]=-19767;[22]=-23620;[23]=-28255;[24]=-33615;[25]=-39886;[26]=-46964;[27]=-54906;[28]=-63721;[29]=-73396;[30]=-83959;[31]=-95396;[32]=-107772
5,RECAL 3 1 2146 64 4 80,1,2146,64,4,80,-2125.000000,33,1,Ok,236749.000000,NonMono,15,-10870.000000,15.073428,15,-2064.706289,31,[0]=-229274;[1]=-210700;[2]=-190480;[3]=-169337;[4]=-146311;[5]=-123871;[6]=-102802;[7]=-83578;[8]=-66364;[9]=-51417;[10]=-38797;[11]=-28519;[12]=-20654;[13]=-15128;[14]=-11897;[15]=-10870;[16]=-12092;[17]=-15505;[18]=-21098;[19]=-28851;[20]=-38561;[21]=-50423;[22]=-64226;[23]=-79840;[24]=-96962;[25]=-115589;[26]=-135271;[27]=-155827;[28]=-177023;[29]=-195619;[30]=-214640
6,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2121.000000,33,1,Ok,111287.000000,NonMono,17,-12839.000000,16.799885,17,2188.199541,31,[2]=-99176;[3]=-87950;[4]=-77487;[5]=-67820;[6]=-58919;[7]=-50751;[8]=-43385;[9]=-36830;[10]=-31069;[11]=-26095;[12]=-21923;[13]=-18522;[14]=-15943;[15]=-14113;[16]=-13080;[17]=-12839;[18]=-13401;[19]=-14752;[20]=-16924;[21]=-19929;[22]=-23742;[23]=-28321;[24]=-33734;[25]=-39983;[26]=-47069;[27]=-55022;[28]=-63827;[29]=-73540;[30]=-83982;[31]=-95429;[32]=-107783
7,RECAL 3 1 2188 64 4 80,1,2188,64,4,80,-1254.000000,33,1,Ok,100249.000000,NonMono,15,-12420.000000,14.998583,15,-1194.005670,31,[0]=-101929;[1]=-90704;[2]=-80016;[3]=-69994;[4]=-60707;[5]=-52254;[6]=-44576;[7]=-37755;[8]=-31732;[9]=-26529;[10]=-22213;[11]=-18643;[12]=-15883;[13]=-13939;[14]=-12787;[15]=-12420;[16]=-12824;[17]=-13997;[18]=-15919;[19]=-18569;[20]=-21929;[21]=-26008;[22]=-30780;[23]=-36265;[24]=-42402;[25]=-49218;[26]=-56550;[27]=-64611;[28]=-73235;[29]=-82421;[30]=-92063
8,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2054.000000,33,1,Ok,100111.000000,NonMono,17,-13983.000000,16.578895,17,2120.315581,31,[2]=-90893;[3]=-80479;[4]=-70840;[5]=-61979;[6]=-53893;[7]=-46610;[8]=-40125;[9]=-34361;[10]=-29309;[11]=-24972;[12]=-21373;[13]=-18481;[14]=-16278;[15]=-14814;[16]=-14042;[17]=-13983;[18]=-14634;[19]=-16007;[20]=-18123;[21]=-20965;[22]=-24542;[23]=-28926;[24]=-34098;[25]=-40061;[26]=-46843;[27]=-54423;[28]=-62825;[29]=-72109;[30]=-82221;[31]=-93051;[32]=-104935
9,RECAL 3 1 2120 64 4 80,1,2120,64,4,80,1172.000000,33,1,Ok,104935.000000,NonMono,16,-13910.000000,16.303491,16,1237.213963,33,[0]=-114545;[1]=-103565;[2]=-93050;[3]=-83066;[4]=-73467;[5]=-64488;[6]=-56159;[7]=-48506;[8]=-41583;[9]=-35387;[10]=-29951;[11]=-25349;[12]=-21449;[13]=-18349;[14]=-16045;[15]=-14563;[16]=-13910;[17]=-14104;[18]=-15132;[19]=-17024;[20]=-19745;[21]=-23311;[22]=-27731;[23]=-33031;[24]=-39200;[25]=-46277;[26]=-54176;[27]=-62864;[28]=-72514;[29]=-82971;[30]=-94227;[31]=-106194;[32]=-118845
10,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2137.000000,33,1,Ok,111644.000000,NonMono,17,-14810.000000,16.975611,17,2204.902443,31,[2]=-101222;[3]=-89857;[4]=-79315;[5]=-69620;[6]=-60722;[7]=-52691;[8]=-45439;[9]=-38971;[10]=-33330;[11]=-28390;[12]=-24228;[13]=-20801;[14]=-18166;[15]=-16267;[16]=-15155;[17]=-14810;[18]=-15238;[19]=-16415;[20]=-18363;[21]=-21062;[22]=-24547;[23]=-28817;[24]=-33868;[25]=-39754;[26]=-46317;[27]=-53805;[28]=-62146;[29]=-71392;[30]=-81528;[31]=-92572;[32]=-104563
11,RECAL 3 1 2205 64 4 80,1,2205,64,4,80,2021.000000,33,1,Ok,234544.000000,NonMono,17,-14168.000000,16.482575,16,2086.930300,30,[2]=-217248;[3]=-198161;[4]=-179305;[5]=-157539;[6]=-136284;[7]=-116315;[8]=-97399;[9]=-80173;[10]=-64663;[11]=-51092;[12]=-39558;[13]=-30130;[14]=-22838;[15]=-17697;[17]=-14168;[18]=-15910;[19]=-20063;[20]=-26635;[21]=-35681;[22]=-47216;[23]=-61002;[24]=-77496;[25]=-96244;[26]=-117255;[27]=-140199;[28]=-164469;[29]=-187557;[30]=-208950;[31]=-228323;[32]=-244372
