line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2547.000000,33,0,ParabolaNotDownward,33.000000,Flat,17,-227854.000000,,,,0,
3,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,2411.000000,101,1,Ok,264510.000000,NonMono,50,-233147.000000,49.631806,50,2609.527222,7,[47]=-235801;[48]=-234121;[49]=-233251;[50]=-233147;[51]=-233838;[52]=-235311;[53]=-237634
4,RECAL 3 0 9999 2610 64 4 80,0,9999,2610,0,64,4,80,2546.000000,33,1,Ok,109718.000000,NonMono,16,-233102.000000,15.875351,16,2609.501404,7,[13]=-236326;[14]=-234460;[15]=-233391;[16]=-233102;[17]=-233594;[18]=-234882;[19]=-237014
5,RECAL 3 1 9999 2610 64 4 80,1,9999,2610,0,64,4,80,-2933.000000,33,1,Ok,261025.000000,NonMono,16,-233105.000000,16.388668,16,-2867.445330,5,[14]=-241755;[15]=-235855;[16]=-233105;[17]=-233433;[18]=-236891
6,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2482.000000,33,1,Ok,116080.000000,NonMono,15,-223729.000000,15.417177,15,2543.668708,7,[12]=-228196;[13]=-225922;[14]=-224442;[15]=-223729;[16]=-223792;[17]=-224630;[18]=-226278
7,RECAL 3 1 9999 2544 64 4 80,1,9999,2544,0,64,4,80,-2288.000000,33,1,Ok,243488.000000,NonMono,16,-223653.000000,16.378825,16,-2222.484701,5,[14]=-228937;[15]=-225328;[16]=-223653;[17]=-223878;[18]=-226002
8,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2542.000000,33,1,Ok,121690.000000,NonMono,16,-222908.000000,15.538995,16,2604.155979,7,[13]=-225472;[14]=-223802;[15]=-222933;[16]=-222908;[17]=-223713;[18]=-225371;[19]=-227890
9,RECAL 3 1 9999 2604 64 4 80,1,9999,2604,0,64,4,80,-1358.000000,33,1,Ok,88829.000000,NonMono,16,-222809.000000,16.272124,16,-1292.911504,7,[13]=-226323;[14]=-224500;[15]=-223316;[16]=-222809;[17]=-222960;[18]=-223779;[19]=-225254
10,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2438.000000,33,1,Ok,105918.000000,NonMono,16,-220071.000000,15.754240,16,2501.016961,7,[13]=-222873;[14]=-221193;[15]=-220259;[16]=-220071;[17]=-220617;[18]=-221969;[19]=-224056
11,RECAL 3 1 9999 2501 64 4 80,1,9999,2501,0,64,4,80,1248.000000,33,1,Ok,94840.000000,NonMono,16,-220036.000000,15.871002,16,1311.484009,7,[13]=-222786;[14]=-221203;[15]=-220278;[16]=-220036;[17]=-220459;[18]=-221567;[19]=-223372
12,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2503.000000,33,1,Ok,110305.000000,NonMono,16,-221980.000000,15.693266,16,2565.773065,7,[13]=-224717;[14]=-223044;[15]=-222131;[16]=-221980;[17]=-222599;[18]=-224031;[19]=-226232
13,RECAL 3 1 9999 2566 64 4 80,1,9999,2566,0,64,4,80,2171.000000,33,1,Ok,236421.000000,NonMono,16,-221935.000000,15.746339,16,2233.985358,5,[14]=-224825;[15]=-222424;[16]=-221935;[17]=-223399;[18]=-226761
14,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2492.000000,33,1,Ok,101790.000000,NonMono,16,-223355.000000,15.727618,16,2554.910472,7,[13]=-226011;[14]=-224416;[15]=-223516;[16]=-223355;[17]=-223923;[18]=-225218;[19]=-227256
15,RECAL 3 1 9999 2555 64 4 80,1,9999,2555,0,64,4,80,2808.000000,33,1,Ok,272144.000000,NonMono,16,-223347.000000,15.873419,16,2871.493677,5,[14]=-228718;[15]=-224504;[16]=-223347;[17]=-225298;[18]=-230369
16,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,814.000000,33,1,Ok,9808.000000,NonMono,15,-227780.000000,15.729802,16,876.919210,19,[6]=-230839;[7]=-230253;[8]=-229731;[9]=-229262;[10]=-228869;[11]=-228517;[12]=-228245;[13]=-228016;[14]=-227881;[15]=-227780;[16]=-227786;[17]=-227838;[18]=-227953;[19]=-228152;[20]=-228417;[21]=-228732;[22]=-229153;[23]=-229639;[24]=-230202
17,RECAL 3 1 9999 877 64 4 80,1,9999,877,0,64,4,80,2781.000000,33,1,Ok,268697.000000,NonMono,16,-227764.000000,15.818712,16,2844.274846,5,[14]=-232641;[15]=-228734;[16]=-227764;[17]=-229824;[18]=-234863
18,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,833.000000,33,1,Ok,11810.000000,NonMono,16,-228411.000000,15.731986,16,895.927944,19,[7]=-231354;[8]=-230728;[9]=-230170;[10]=-229693;[11]=-229273;[12]=-228951;[13]=-228692;[14]=-228517;[15]=-228426;[16]=-228411;[17]=-228479;[18]=-228622;[19]=-228834;[20]=-229157;[21]=-229554;[22]=-230056;[23]=-230634;[24]=-231325;[25]=-232103
19,RECAL 3 1 9999 896 64 4 80,1,9999,896,0,64,4,80,2136.000000,33,1,Ok,231157.000000,NonMono,16,-228393.000000,15.617890,16,2198.471558,5,[14]=-230674;[15]=-228612;[16]=-228393;[17]=-230024;[18]=-233502
20,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,597.000000,33,1,Ok,6782.000000,NonMono,15,-225193.000000,15.171990,15,657.687959,25,[3]=-228087;[4]=-227644;[5]=-227247;[6]=-226874;[7]=-226545;[8]=-226234;[9]=-225969;[10]=-225741;[11]=-225566;[12]=-225405;[13]=-225301;[14]=-225217;[15]=-225193;[16]=-225211;[17]=-225272;[18]=-225385;[19]=-225517;[20]=-225716;[21]=-225951;[22]=-226235;[23]=-226569;[24]=-226956;[25]=-227387;[26]=-227907;[27]=-228426
21,RECAL 3 1 9999 658 64 4 80,1,9999,658,0,64,4,80,1192.000000,33,1,Ok,86380.000000,NonMono,16,-225204.000000,15.842979,16,1255.371915,7,[13]=-227593;[14]=-226220;[15]=-225405;[16]=-225204;[17]=-225605;[18]=-226637;[19]=-228296
22,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,942.000000,33,1,Ok,17111.000000,NonMono,15,-223798.000000,15.403410,15,1003.613641,15,[8]=-226801;[9]=-226061;[10]=-225417;[11]=-224872;[12]=-224442;[13]=-224116;[14]=-223899;[15]=-223798;[16]=-223811;[17]=-223925;[18]=-224180;[19]=-224547;[20]=-225045;[21]=-225635;[22]=-226372
23,RECAL 3 1 9999 1004 64 4 80,1,9999,1004,0,64,4,80,-1417.000000,33,1,Ok,93259.000000,NonMono,16,-223792.000000,16.152663,16,-1352.389349,7,[13]=-227286;[14]=-225432;[15]=-224248;[16]=-223792;[17]=-224043;[18]=-224988;[19]=-226621
24,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,771.000000,33,1,Ok,11378.000000,NonMono,15,-222142.000000,14.886738,15,830.546953,19,[6]=-224759;[7]=-224217;[8]=-223731;[9]=-223312;[10]=-222938;[11]=-222669;[12]=-222425;[13]=-222268;[14]=-222168;[15]=-222142;[16]=-222194;[17]=-222296;[18]=-222481;[19]=-222750;[20]=-223081;[21]=-223503;[22]=-223986;[23]=-224557;[24]=-225211
25,RECAL 3 1 9999 831 64 4 80,1,9999,831,0,64,4,80,-2323.000000,33,1,Ok,246668.000000,NonMono,16,-222164.000000,16.306973,16,-2257.772108,5,[14]=-227179;[15]=-223732;[16]=-222164;[17]=-222555;[18]=-224867
26,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,972.000000,33,1,Ok,16782.000000,NonMono,15,-223801.000000,15.273635,15,1033.094539,17,[7]=-227347;[8]=-226543;[9]=-225860;[10]=-225266;[11]=-224759;[12]=-224375;[13]=-224093;[14]=-223892;[15]=-223801;[16]=-223830;[17]=-223976;[18]=-224189;[19]=-224583;[20]=-225049;[21]=-225652;[22]=-226390;[23]=-227209
27,RECAL 3 1 9999 1033 64 4 80,1,9999,1033,0,64,4,80,-2955.000000,33,1,Ok,269705.000000,NonMono,16,-223824.000000,16.108562,16,-2890.565750,5,[14]=-230677;[15]=-225706;[16]=-223824;[17]=-225039;[18]=-229388
28,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2283.000000,33,1,Ok,70006.000000,NonMono,16,-238797.000000,15.718559,16,-2220.125766,9,[12]=-242502;[13]=-240784;[14]=-239582;[15]=-238926;[16]=-238797;[17]=-239216;[18]=-240179;[19]=-241658;[20]=-243634
29,RECAL 3 1 9999 -2220 64 4 80,1,9999,-2220,0,64,4,80,-2926.000000,33,1,Ok,256178.000000,NonMono,16,-238795.000000,16.258957,16,-2860.964171,5,[14]=-246264;[15]=-241071;[16]=-238795;[17]=-239536;[18]=-243332
30,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2351.000000,33,1,Ok,73785.000000,NonMono,16,-236036.000000,15.754730,16,-2287.981081,9,[12]=-240048;[13]=-238187;[14]=-236902;[15]=-236186;[16]=-236036;[17]=-236454;[18]=-237462;[19]=-239035;[20]=-241162
