path,cmd,attempt,peak_ok,code,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 64 4 80,1,0,ParabolaNotDownward,2546,-224116,-224116,-224116,-224130,-224121,-224124,-224127,-224124,-224123,-224122,-224122,-224119,-224131,-224124,-224143,-224136,-224134,-224139,-224135,-224129,-224125,-224139,-224120,-224142,-224143,-224130,-224139,-224126,-224132,-224115,-224116,-224115,-224119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 200 4 80,2,1,Ok,2410,-496220,-496776,-496905,-496497,-497159,-496530,-496657,-496262,-496963,-496280,-496708,-496279,-496683,-496069,-495978,-495163,-494683,-493591,-492532,-490533,-488021,-484606,-479540,-471942,-462394,-450640,-437642,-423803,-409717,-395615,-381685,-368114,-355001,-342403,-330476,-319108,-308368,-298309,-289028,-280217,-272228,-264934,-258372,-252514,-247430,-243133,-239571,-236769,-234750,-233531,-233082,-233458,-234606,-236598,-239327,-242928,-247342,-252602,-258749,-265748,-273631,-282416,-292187,-302819,-314413,-327021,-340680,-355419,-371330,-388413,-406422,-425448,-444749,-463035,-477244,-485878,-490302,-492914,-494320,-495098,-495636,-495630,-495912,-495835,-496241,-496203,-496387,-496450,-496861,-496623,-496486,-497058,-496153,-496449,-496594,-496699,-496715,-496646,-496489,-496531,-496575,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 2610 64 4 80,3,1,Ok,2546,-330308,-318954,-308196,-298180,-288910,-280111,-272118,-264834,-258289,-252450,-247386,-243085,-239507,-236719,-234707,-233503,-233077,-233442,-234603,-236595,-239373,-242970,-247409,-252693,-258827,-265846,-273704,-282467,-292302,-302912,-314566,-327139,-340822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 1 9999 2610 64 4 80,1,1,Ok,-2931,-492348,-490164,-485469,-473229,-447698,-415247,-383077,-353616,-327449,-304649,-285020,-268640,-255308,-245199,-238060,-234006,-233064,-235214,-240579,-249006,-260676,-275493,-293598,-314784,-338865,-365714,-394528,-424163,-452214,-473922,-485767,-491187,-494218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2480,-318064,-307019,-296634,-286755,-277767,-269290,-261530,-254450,-248091,-242466,-237523,-233363,-229921,-227263,-225377,-224268,-223939,-224378,-225608,-227661,-230471,-234124,-238647,-243989,-250228,-257287,-265268,-274177,-283972,-294906,-306679,-319499,-333373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 1 9999 2544 64 4 80,1,1,Ok,-2286,-452399,-428375,-402802,-377855,-354414,-332875,-313342,-295741,-280035,-266332,-254534,-244658,-236741,-230676,-226501,-224272,-223945,-225515,-229016,-234438,-241843,-251209,-262536,-275817,-291172,-308364,-327413,-348292,-370366,-393868,-417765,-440957,-461723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2540,-326693,-314852,-303550,-292961,-282930,-273898,-265379,-257624,-250632,-244363,-238948,-234271,-230411,-227363,-225107,-223717,-223137,-223418,-224524,-226467,-229305,-232986,-237541,-243017,-249373,-256638,-264879,-274056,-284203,-295490,-307632,-320833,-335157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 1 9999 2605 64 4 80,1,1,Ok,-1357,-307171,-296742,-286904,-277858,-269592,-262001,-255074,-248852,-243318,-238481,-234285,-230787,-227914,-225733,-224198,-223330,-223116,-223561,-224692,-226476,-228904,-232000,-235738,-240183,-245190,-250897,-257171,-264122,-271663,-279801,-288652,-298009,-307935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2437,-314674,-303635,-293252,-283355,-274295,-265855,-258094,-251057,-244692,-239066,-234148,-230007,-226548,-223885,-221947,-220779,-220333,-220686,-221785,-223651,-226297,-229762,-234012,-239054,-244895,-251587,-259103,-267456,-276667,-286708,-297793,-309521,-322365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 1 9999 2501 64 4 80,1,1,Ok,1247,-299979,-290545,-281588,-273283,-265535,-258390,-251844,-245852,-240528,-235799,-231663,-228143,-225280,-223049,-221481,-220577,-220347,-220799,-221925,-223765,-226319,-229613,-233623,-238360,-243869,-250096,-257075,-264887,-273461,-282768,-292994,-303837,-315478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
