line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2193.000000,33,1,Ok,3061.000000,NonMono,25,-518580.000000,24.788110,25,2292.152439,7,[22]=-521625;[23]=-520496;[24]=-519293;[25]=-518580;[26]=-519749;[27]=-520062;[28]=-520378
3,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2141.000000,33,1,Ok,130086.000000,NonMono,18,-237202.000000,17.645616,18,2211.582464,7,[15]=-240196;[16]=-238335;[17]=-237334;[18]=-237202;[19]=-237957;[20]=-239596;[21]=-242118
4,RECAL 3 1 9999 2212 64 4 80,1,9999,2212,0,64,4,80,-2220.000000,33,1,Ok,281733.000000,NonMono,14,-234013.000000,14.416388,14,-2162.334447,5,[12]=-240835;[13]=-236214;[14]=-234013;[15]=-234205;[16]=-236838
5,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2212.000000,33,1,Ok,142118.000000,NonMono,18,-237963.000000,17.695294,18,2282.781176,7,[15]=-241305;[16]=-239271;[17]=-238144;[18]=-237963;[19]=-238721;[20]=-240417;[21]=-243050
6,RECAL 3 1 9999 2283 64 4 80,1,9999,2283,0,64,4,80,-1414.000000,33,1,Ok,131534.000000,NonMono,15,-237166.000000,14.786657,15,-1354.853372,7,[12]=-240847;[13]=-238674;[14]=-237441;[15]=-237166;[16]=-237833;[17]=-239430;[18]=-241896
7,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2220.000000,33,1,Ok,137178.000000,NonMono,17,-230880.000000,17.393399,17,2289.573595,7,[14]=-236183;[15]=-233483;[16]=-231712;[17]=-230880;[18]=-230982;[19]=-232010;[20]=-233979
8,RECAL 3 1 9999 2290 64 4 80,1,9999,2290,0,64,4,80,1006.000000,33,1,Ok,77934.000000,NonMono,17,-230476.000000,16.957424,17,1073.829697,9,[13]=-234928;[14]=-232970;[15]=-231569;[16]=-230739;[17]=-230476;[18]=-230787;[19]=-231677;[20]=-233149;[21]=-235199
9,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2224.000000,33,1,Ok,133490.000000,NonMono,17,-237988.000000,17.396700,17,2293.586801,7,[14]=-243157;[15]=-240532;[16]=-238815;[17]=-237988;[18]=-238086;[19]=-239098;[20]=-240981
10,RECAL 3 1 9999 2294 64 4 80,1,9999,2294,0,64,4,80,1928.000000,33,1,Ok,257227.000000,NonMono,18,-235630.000000,17.550788,18,1998.203154,5,[16]=-237824;[17]=-235733;[18]=-235630;[19]=-237530;[20]=-241434
11,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2212.000000,33,1,Ok,131726.000000,NonMono,18,-251929.000000,17.869546,18,2283.478183,7,[15]=-255385;[16]=-253399;[17]=-252242;[18]=-251929;[19]=-252468;[20]=-253849;[21]=-256088
12,RECAL 3 1 9999 2283 64 4 80,1,9999,2283,0,64,4,80,2540.000000,33,1,Ok,276562.000000,NonMono,18,-243602.000000,18.210750,18,2612.843001,5,[16]=-251730;[17]=-245979;[18]=-243602;[19]=-244563;[20]=-248883
13,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,698.000000,33,1,Ok,10807.000000,NonMono,16,-253820.000000,15.754979,16,761.019917,19,[7]=-256513;[8]=-255945;[9]=-255436;[10]=-255005;[11]=-254627;[12]=-254331;[13]=-254109;[14]=-253949;[15]=-253850;[16]=-253820;[17]=-253887;[18]=-254016;[19]=-254221;[20]=-254490;[21]=-254868;[22]=-255313;[23]=-255858;[24]=-256450;[25]=-257140
14,RECAL 3 1 9999 761 64 4 80,1,9999,761,0,64,4,80,2547.000000,33,1,Ok,269969.000000,NonMono,18,-249687.000000,17.601470,18,2617.405879,5,[16]=-253733;[17]=-250040;[18]=-249687;[19]=-252646;[20]=-258797
15,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,714.000000,33,1,Ok,13075.000000,NonMono,18,-242702.000000,17.889288,18,785.557153,17,[10]=-245405;[11]=-244779;[12]=-244225;[13]=-243758;[14]=-243382;[15]=-243075;[16]=-242879;[17]=-242745;[18]=-242702;[19]=-242753;[20]=-242913;[21]=-243153;[22]=-243496;[23]=-243947;[24]=-244484;[25]=-245126;[26]=-245874
16,RECAL 3 1 9999 786 64 4 80,1,9999,786,0,64,4,80,1935.000000,33,1,Ok,263473.000000,NonMono,18,-238732.000000,17.998023,18,2006.992092,5,[16]=-242714;[17]=-239723;[18]=-238732;[19]=-239724;[20]=-242675
17,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,700.000000,33,1,Ok,12373.000000,NonMono,17,-237586.000000,17.190052,17,768.760208,19,[8]=-241291;[9]=-240537;[10]=-239867;[11]=-239298;[12]=-238797;[13]=-238382;[14]=-238042;[15]=-237804;[16]=-237657;[17]=-237586;[18]=-237614;[19]=-237739;[20]=-237959;[21]=-238266;[22]=-238685;[23]=-239199;[24]=-239806;[25]=-240523;[26]=-241350
18,RECAL 3 1 9999 769 64 4 80,1,9999,769,0,64,4,80,1022.000000,33,1,Ok,81403.000000,NonMono,17,-237197.000000,17.159852,17,1090.639410,9,[13]=-242217;[14]=-240098;[15]=-238543;[16]=-237576;[17]=-237197;[18]=-237399;[19]=-238178;[20]=-239572;[21]=-241568
19,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,672.000000,33,1,Ok,11501.000000,NonMono,17,-235563.000000,17.276775,17,741.107100,19,[8]=-239038;[9]=-238343;[10]=-237714;[11]=-237176;[12]=-236703;[13]=-236314;[14]=-236005;[15]=-235767;[16]=-235626;[17]=-235563;[18]=-235572;[19]=-235691;[20]=-235877;[21]=-236155;[22]=-236524;[23]=-236989;[24]=-237540;[25]=-238190;[26]=-238950
20,RECAL 3 1 9999 741 64 4 80,1,9999,741,0,64,4,80,-1404.000000,33,1,Ok,121214.000000,NonMono,15,-235275.000000,15.208465,15,-1343.166138,7,[12]=-239980;[13]=-237478;[14]=-235904;[15]=-235275;[16]=-235525;[17]=-236693;[18]=-238769
21,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,381.000000,33,1,Ok,5741.000000,NonMono,22,-236873.000000,22.164839,22,469.659356,17,[14]=-237786;[15]=-237586;[16]=-237401;[17]=-237246;[18]=-237116;[19]=-237024;[20]=-236944;[21]=-236904;[22]=-236873;[23]=-236884;[24]=-236928;[25]=-236999;[26]=-237094;[27]=-237222;[28]=-237389;[29]=-237586;[30]=-237810
22,RECAL 3 1 9999 470 64 4 80,1,9999,470,0,64,4,80,-2218.000000,33,1,Ok,269049.000000,NonMono,16,-236840.000000,15.873203,16,-2154.507188,5,[14]=-241005;[15]=-237733;[16]=-236840;[17]=-238336;[18]=-242205
23,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,624.000000,33,1,Ok,8329.000000,NonMono,17,-250519.000000,17.380892,17,693.523567,21,[7]=-253624;[8]=-253064;[9]=-252558;[10]=-252120;[11]=-251724;[12]=-251390;[13]=-251096;[14]=-250866;[15]=-250701;[16]=-250585;[17]=-250519;[18]=-250523;[19]=-250596;[20]=-250739;[21]=-250934;[22]=-251203;[23]=-251529;[24]=-251931;[25]=-252399;[26]=-252948;[27]=-253543
24,RECAL 3 1 9999 694 64 4 80,1,9999,694,0,64,4,80,-2790.000000,33,1,Ok,274992.000000,NonMono,14,-245024.000000,14.281591,14,-2732.873636,5,[12]=-254518;[13]=-247916;[14]=-245024;[15]=-245830;[16]=-250331
25,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2132.000000,33,1,Ok,94262.000000,NonMono,15,-249947.000000,15.038728,15,-2071.845086,7,[12]=-253083;[13]=-251354;[14]=-250301;[15]=-249947;[16]=-250254;[17]=-251239;[18]=-252910
26,RECAL 3 1 9999 -2072 64 4 80,1,9999,-2072,0,64,4,80,-2815.000000,33,1,Ok,275148.000000,NonMono,14,-245385.000000,14.409509,14,-2757.361965,17,[6]=-367528;[7]=-341246;[8]=-317526;[9]=-297030;[10]=-279745;[11]=-265819;[12]=-255387;[13]=-248569;[14]=-245385;[15]=-245844;[16]=-249847;[17]=-257532;[18]=-268882;[19]=-283890;[20]=-302363;[21]=-324540;[22]=-350492
27,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2182.000000,33,1,Ok,101644.000000,NonMono,15,-246568.000000,14.863702,15,-2122.545192,7,[12]=-249504;[13]=-247808;[14]=-246839;[15]=-246568;[16]=-247023;[17]=-248167;[18]=-249982
28,RECAL 3 1 9999 -2123 64 4 80,1,9999,-2123,0,64,4,80,-2242.000000,33,1,Ok,276808.000000,NonMono,14,-241211.000000,13.872010,14,-2186.511958,5,[12]=-245382;[13]=-242097;[14]=-241211;[15]=-242703;[16]=-246569
29,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2109.000000,33,1,Ok,92751.000000,NonMono,15,-242246.000000,14.998106,15,-2049.007574,7,[12]=-245303;[13]=-243596;[14]=-242571;[15]=-242246;[16]=-242576;[17]=-243585;[18]=-245268
30,RECAL 3 1 9999 -2049 64 4 80,1,9999,-2049,0,64,4,80,-1454.000000,33,1,Ok,125420.000000,NonMono,15,-241880.000000,15.146397,15,-1393.414410,7,[12]=-246689;[13]=-244105;[14]=-242516;[15]=-241880;[16]=-242231;[17]=-243515;[18]=-245755
31,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2099.000000,33,1,Ok,92518.000000,NonMono,15,-240675.000000,14.847692,15,-2039.609233,7,[12]=-243380;[13]=-241817;[14]=-240904;[15]=-240675;[16]=-241112;[17]=-242208;[18]=-243958
32,RECAL 3 1 9999 -2040 64 4 80,1,9999,-2040,0,64,4,80,953.000000,33,1,Ok,65568.000000,NonMono,17,-240434.000000,16.894806,17,1020.579224,9,[13]=-244176;[14]=-242512;[15]=-241329;[16]=-240639;[17]=-240434;[18]=-240747;[19]=-241548;[20]=-242861;[21]=-244678
33,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2093.000000,33,1,Ok,92717.000000,NonMono,15,-244527.000000,14.647219,15,-2034.411122,7,[12]=-246796;[13]=-245379;[14]=-244619;[15]=-244527;[16]=-245080;[17]=-246268;[18]=-248092
34,RECAL 3 1 9999 -2034 64 4 80,1,9999,-2034,0,64,4,80,1899.000000,33,1,Ok,252921.000000,NonMono,18,-242199.000000,17.601610,18,1969.406440,5,[16]=-244430;[17]=-242387;[18]=-242199;[19]=-243854;[20]=-247342
35,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2108.000000,33,1,Ok,89209.000000,NonMono,15,-252639.000000,14.915596,15,-2048.337618,7,[12]=-255356;[13]=-253808;[14]=-252901;[15]=-252639;[16]=-253005;[17]=-254027;[18]=-255678
36,RECAL 3 1 9999 -2048 64 4 80,1,9999,-2048,0,64,4,80,2517.000000,33,1,Ok,274636.000000,NonMono,18,-245679.000000,18.049233,18,2589.196932,5,[16]=-252502;[17]=-247454;[18]=-245679;[19]=-247113;[20]=-251664
37,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2275.000000,33,1,Ok,88912.000000,NonMono,16,-228725.000000,16.472279,16,2340.889116,7,[13]=-232722;[14]=-230733;[15]=-229388;[16]=-228725;[17]=-228744;[18]=-229467;[19]=-230891
38,RECAL 3 1 9999 2341 64 4 80,1,9999,2341,0,64,4,80,-2942.000000,33,1,Ok,295506.000000,NonMono,14,-224350.000000,14.345558,14,-2884.617768,5,[12]=-233058;[13]=-227104;[14]=-224350;[15]=-224872;[16]=-228571
39,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2261.000000,33,1,Ok,90656.000000,NonMono,16,-221111.000000,16.271070,16,2326.084281,7,[13]=-224698;[14]=-222832;[15]=-221629;[16]=-221111;[17]=-221262;[18]=-222110;[19]=-223651
40,RECAL 3 1 9999 2326 64 4 80,1,9999,2326,0,64,4,80,-2300.000000,33,1,Ok,280064.000000,NonMono,14,-217397.000000,14.080694,14,-2243.677225,5,[12]=-221780;[13]=-218580;[14]=-217397;[15]=-218250;[16]=-221093
41,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2344.000000,33,1,Ok,97491.000000,NonMono,17,-216422.000000,16.713341,17,2410.853365,7,[14]=-219065;[15]=-217459;[16]=-216579;[17]=-216422;[18]=-217000;[19]=-218328;[20]=-220407
42,RECAL 3 1 9999 2411 64 4 80,1,9999,2411,0,64,4,80,-1388.000000,33,1,Ok,101789.000000,NonMono,15,-215996.000000,14.955699,15,-1328.177203,7,[12]=-219150;[13]=-217371;[14]=-216325;[15]=-215996;[16]=-216387;[17]=-217499;[18]=-219337
43,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2321.000000,33,1,Ok,92536.000000,NonMono,16,-216198.000000,16.338127,16,2386.352508,7,[13]=-220127;[14]=-218113;[15]=-216807;[16]=-216198;[17]=-216324;[18]=-217160;[19]=-218733
44,RECAL 3 1 9999 2386 64 4 80,1,9999,2386,0,64,4,80,1219.000000,33,1,Ok,94012.000000,NonMono,17,-215700.000000,17.148251,17,1287.593005,7,[14]=-219052;[15]=-217259;[16]=-216149;[17]=-215700;[18]=-215946;[19]=-216881;[20]=-218533
45,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2346.000000,33,1,Ok,98767.000000,NonMono,17,-219051.000000,17.041947,17,2414.167788,7,[14]=-222276;[15]=-220508;[16]=-219433;[17]=-219051;[18]=-219375;[19]=-220423;[20]=-222205
46,RECAL 3 1 9999 2414 64 4 80,1,9999,2414,0,64,4,80,2149.000000,33,1,Ok,271781.000000,NonMono,18,-216620.000000,17.609241,18,2219.436965,5,[16]=-219015;[17]=-216839;[18]=-216620;[19]=-218385;[20]=-222131
47,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2346.000000,33,1,Ok,90194.000000,NonMono,16,-231708.000000,16.205268,16,2410.821071,7,[13]=-235133;[14]=-233324;[15]=-232186;[16]=-231708;[17]=-231907;[18]=-232792;[19]=-234369
48,RECAL 3 1 9999 2411 64 4 80,1,9999,2411,0,64,4,80,2795.000000,33,1,Ok,291869.000000,NonMono,18,-226333.000000,17.834666,18,2866.338665,5,[16]=-231637;[17]=-227400;[18]=-226333;[19]=-228456;[20]=-233769
49,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-188.000000,33,0,ParabolaNotDownward,367.000000,Flat,4,-230648.000000,,,,0,
50,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-324.000000,101,1,Ok,3346.000000,NonMono,38,-230616.000000,38.787412,39,-168.850350,33,[22]=-231042;[23]=-230988;[24]=-230931;[25]=-230880;[26]=-230846;[27]=-230807;[28]=-230769;[29]=-230739;[30]=-230707;[31]=-230692;[32]=-230671;[33]=-230655;[34]=-230646;[35]=-230627;[36]=-230623;[37]=-230620;[38]=-230616;[39]=-230624;[40]=-230620;[41]=-230616;[42]=-230626;[43]=-230626;[44]=-230642;[45]=-230649;[46]=-230658;[47]=-230668;[48]=-230679;[49]=-230699;[50]=-230714;[51]=-230732;[52]=-230740;[53]=-230750;[54]=-230782
51,RECAL 3 0 9999 -169 64 4 80,0,9999,-169,0,64,4,80,-233.000000,33,0,ParabolaNotDownward,392.000000,Flat,16,-230562.000000,,,,0,
52,RECAL 3 1 9999 -168 64 4 80,1,9999,-168,0,64,4,80,2825.000000,33,1,Ok,290497.000000,NonMono,18,-227038.000000,17.530979,18,2895.123917,17,[10]=-317115;[11]=-294679;[12]=-275485;[13]=-259457;[14]=-246780;[15]=-237067;[16]=-230554;[17]=-227212;[18]=-227038;[19]=-230041;[20]=-236216;[21]=-245550;[22]=-258046;[23]=-273646;[24]=-292185;[25]=-313553;[26]=-337553
53,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-186.000000,33,0,ParabolaNotDownward,430.000000,Flat,5,-220311.000000,,,,0,
54,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-322.000000,101,1,Ok,3757.000000,NonMono,38,-220331.000000,38.786843,39,-166.852626,33,[22]=-220810;[23]=-220741;[24]=-220686;[25]=-220637;[26]=-220588;[27]=-220547;[28]=-220508;[29]=-220470;[30]=-220439;[31]=-220414;[32]=-220395;[33]=-220376;[34]=-220364;[35]=-220350;[36]=-220346;[37]=-220334;[38]=-220331;[39]=-220333;[40]=-220331;[41]=-220337;[42]=-220347;[43]=-220355;[44]=-220361;[45]=-220374;[46]=-220383;[47]=-220390;[48]=-220408;[49]=-220428;[50]=-220442;[51]=-220466;[52]=-220483;[53]=-220502;[54]=-220523
55,RECAL 3 0 9999 -167 64 4 80,0,9999,-167,0,64,4,80,-231.000000,33,0,ParabolaNotDownward,438.000000,Flat,16,-220321.000000,,,,0,
56,RECAL 3 1 9999 -167 64 4 80,1,9999,-167,0,64,4,80,2189.000000,33,1,Ok,272130.000000,NonMono,17,-218539.000000,17.378933,17,2258.515731,5,[15]=-224121;[16]=-220321;[17]=-218539;[18]=-218787;[19]=-221059
57,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-458.000000,33,0,ParabolaNotDownward,4722.000000,NonMono,6,-217119.000000,,,,16,[-1]=-1.29018e-231;[0]=-217430;[1]=-217319;[2]=-217248;[3]=-217186;[4]=-217143;[5]=-217121;[6]=-217119;[7]=-217125;[8]=-217159;[9]=-217205;[10]=-217270;[11]=-217349;[12]=-217438;[13]=-217552;[14]=-217675
58,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-594.000000,101,1,Ok,19936.000000,NonMono,39,-217115.000000,39.761182,40,-434.955273,35,[22]=-220428;[23]=-220042;[24]=-219681;[25]=-219347;[26]=-219030;[27]=-218750;[28]=-218484;[29]=-218251;[30]=-218042;[31]=-217856;[32]=-217687;[33]=-217546;[34]=-217430;[35]=-217323;[36]=-217241;[37]=-217184;[38]=-217143;[39]=-217115;[40]=-217116;[41]=-217122;[42]=-217158;[43]=-217201;[44]=-217269;[45]=-217347;[46]=-217436;[47]=-217546;[48]=-217671;[49]=-217798;[50]=-217954;[51]=-218120;[52]=-218303;[53]=-218487;[54]=-218686;[55]=-218903;[56]=-219121
59,RECAL 3 0 9999 -435 64 4 80,0,9999,-435,0,64,4,80,-499.000000,33,0,ParabolaNotDownward,2663.000000,Flat,16,-217103.000000,,,,0,
60,RECAL 3 1 9999 -435 64 4 80,1,9999,-435,0,64,4,80,1285.000000,33,1,Ok,94427.000000,NonMono,16,-217112.000000,16.479409,16,1350.917638,7,[13]=-221436;[14]=-219269;[15]=-217832;[16]=-217112;[17]=-217122;[18]=-217886;[19]=-219408
61,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-210.000000,33,0,ParabolaNotDownward,975.000000,Flat,1,-215645.000000,,,,0,
62,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,-346.000000,101,1,Ok,4208.000000,NonMono,34,-215619.000000,34.307634,34,-208.769465,33,[18]=-216350;[19]=-216255;[20]=-216162;[21]=-216084;[22]=-216009;[23]=-215945;[24]=-215882;[25]=-215829;[26]=-215788;[27]=-215743;[28]=-215713;[29]=-215681;[30]=-215662;[31]=-215643;[32]=-215631;[33]=-215622;[34]=-215619;[35]=-215622;[36]=-215625;[37]=-215632;[38]=-215647;[39]=-215662;[40]=-215681;[41]=-215698;[42]=-215723;[43]=-215748;[44]=-215773;[45]=-215804;[46]=-215832;[47]=-215873;[48]=-215902;[49]=-215937;[50]=-215974
63,RECAL 3 0 9999 -209 64 4 80,0,9999,-209,0,64,4,80,-273.000000,33,0,ParabolaNotDownward,706.000000,Flat,16,-215601.000000,,,,0,
64,RECAL 3 1 9999 -209 64 4 80,1,9999,-209,0,64,4,80,-1323.000000,33,1,Ok,92595.000000,NonMono,15,-215098.000000,14.722156,15,-1264.111375,7,[12]=-217522;[13]=-216045;[14]=-215233;[15]=-215098;[16]=-215601;[17]=-216766;[18]=-218590
65,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-757.000000,33,1,Ok,8697.000000,NonMono,13,-219943.000000,12.429066,12,-707.283735,23,[2]=-222896;[3]=-222335;[4]=-221832;[5]=-221399;[6]=-221029;[7]=-220713;[8]=-220448;[9]=-220245;[10]=-220094;[11]=-219990;[12]=-219945;[13]=-219943;[14]=-220008;[15]=-220106;[16]=-220260;[17]=-220456;[18]=-220701;[19]=-220994;[20]=-221330;[21]=-221713;[22]=-222145;[23]=-222614;[24]=-223137
66,RECAL 3 1 9999 -707 64 4 80,1,9999,-707,0,64,4,80,-2265.000000,33,1,Ok,267715.000000,NonMono,15,-218283.000000,14.683810,15,-2206.264760,5,[13]=-220951;[14]=-218642;[15]=-218283;[16]=-219898;[17]=-223518
