Channel,s1_pd_reply,s1_opm_reply,s2_pd_reply,s2_opm_reply,s3_pd_reply,s3_opm_reply
CH343,-1124,-129363,-1217,-140873,-2489,-236367
CH343,-1124,-129363,-1217,-140851,-2489,-236377
CH343,-1124,-496734,-1217,-496962,-2489,-496337
CH343,-1124,-496525,-1217,-497039,-2490,-497022
CH343,-1124,-496519,-1216,-497192,-2489,-496649
CH343,-1124,-496296,-1217,-496996,-2489,-497133
CH343,-1125,-129363,-1217,-146749,-2490,-235103
CH343,-1124,-129363,-1218,-146635,-2489,-235069
CH343,-1124,-129363,-1217,-139070,-2490,-231104
CH343,-1124,-129363,-1217,-138985,-2490,-231079
CH343,-1124,-497235,-1217,-497399,-2489,-497312
CH343,-1124,-496785,-1217,-497205,-2488,-496911
CH343,-1124,-129363,-1217,-143445,-2488,-239258
CH343,-1124,-129363,-1217,-143337,-2489,-239245
CH343,-1124,-129364,-1217,-136208,-2489,-237022
