# PD (RECAL 2) path table: target + 2 switch channels
# ch1=[2#1x64 ch] (1..64), ch2=[MCS ch] (1..18)
# MCS side implied by ch1: 1..32 -> 1# MCS; 33..64 -> 2# MCS
# Budget: 64 (Stage_1) + 3 (Stage_2) + 576 (1# MCS) + 576 (2# MCS) = 1219
target_index,ch1,ch2
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,1
1,20,2
1,21,3
1,22,4
1,23,5
1,24,6
1,25,7
1,26,8
1,27,9
1,28,10
1,29,11
1,30,12
1,31,13
1,32,14
1,33,15
1,34,16
1,35,17
1,36,18
1,37,1
1,38,2
1,39,3
1,40,4
1,41,5
1,42,6
1,43,7
1,44,8
1,45,9
1,46,10
1,47,11
1,48,12
1,49,13
1,50,14
1,51,15
1,52,16
1,53,17
1,54,18
1,55,1
1,56,2
1,57,3
1,58,4
1,59,5
1,60,6
1,61,7
1,62,8
1,63,9
1,64,10
2,1,1
2,32,1
2,64,1
