# PD (RECAL 2) path table: target + 2 switch channels
# ch1=[2#1x64 ch] (1..64), ch2=[MCS ch] (1..18)
# MCS side implied by ch1: 1..32 -> 1# MCS; 33..64 -> 2# MCS
# Budget: 64 (Stage_1) + 3 (Stage_2) + 576 (1# MCS) + 576 (2# MCS) = 1219
target_index,ch1,ch2
4,33,1
4,33,2
4,33,3
4,33,4
4,33,5
4,33,6
4,33,7
4,33,8
4,33,9
4,33,10
4,33,11
4,33,12
4,33,13
4,33,14
4,33,15
4,33,16
4,33,17
4,33,18
4,34,1
4,34,2
4,34,3
4,34,4
4,34,5
4,34,6
4,34,7
4,34,8
4,34,9
4,34,10
4,34,11
4,34,12
4,34,13
4,34,14
4,34,15
4,34,16
4,34,17
4,34,18
4,35,1
4,35,2
4,35,3
4,35,4
4,35,5
4,35,6
4,35,7
4,35,8
4,35,9
4,35,10
4,35,11
4,35,12
4,35,13
4,35,14
4,35,15
4,35,16
4,35,17
4,35,18
4,36,1
4,36,2
4,36,3
4,36,4
4,36,5
4,36,6
4,36,7
4,36,8
4,36,9
4,36,10
4,36,11
4,36,12
4,36,13
4,36,14
4,36,15
4,36,16
4,36,17
4,36,18
4,37,1
4,37,2
4,37,3
4,37,4
4,37,5
4,37,6
4,37,7
4,37,8
4,37,9
4,37,10
4,37,11
4,37,12
4,37,13
4,37,14
4,37,15
4,37,16
4,37,17
4,37,18
4,38,1
4,38,2
4,38,3
4,38,4
4,38,5
4,38,6
4,38,7
4,38,8
4,38,9
4,38,10
4,38,11
4,38,12
4,38,13
4,38,14
4,38,15
4,38,16
4,38,17
4,38,18
4,39,1
4,39,2
4,39,3
4,39,4
4,39,5
4,39,6
4,39,7
4,39,8
4,39,9
4,39,10
4,39,11
4,39,12
4,39,13
4,39,14
4,39,15
4,39,16
4,39,17
4,39,18
4,40,1
4,40,2
4,40,3
4,40,4
4,40,5
4,40,6
4,40,7
4,40,8
4,40,9
4,40,10
4,40,11
4,40,12
4,40,13
4,40,14
4,40,15
4,40,16
4,40,17
4,40,18
4,41,1
4,41,2
4,41,3
4,41,4
4,41,5
4,41,6
4,41,7
4,41,8
4,41,9
4,41,10
4,41,11
4,41,12
4,41,13
4,41,14
4,41,15
4,41,16
4,41,17
4,41,18
4,42,1
4,42,2
4,42,3
4,42,4
4,42,5
4,42,6
4,42,7
4,42,8
4,42,9
4,42,10
4,42,11
4,42,12
4,42,13
4,42,14
4,42,15
4,42,16
4,42,17
4,42,18
4,43,1
4,43,2
4,43,3
4,43,4
4,43,5
4,43,6
4,43,7
4,43,8
4,43,9
4,43,10
4,43,11
4,43,12
4,43,13
4,43,14
4,43,15
4,43,16
4,43,17
4,43,18
4,44,1
4,44,2
4,44,3
4,44,4
4,44,5
4,44,6
4,44,7
4,44,8
4,44,9
4,44,10
4,44,11
4,44,12
4,44,13
4,44,14
4,44,15
4,44,16
4,44,17
4,44,18
4,45,1
4,45,2
4,45,3
4,45,4
4,45,5
4,45,6
4,45,7
4,45,8
4,45,9
4,45,10
4,45,11
4,45,12
4,45,13
4,45,14
4,45,15
4,45,16
4,45,17
4,45,18
4,46,1
4,46,2
4,46,3
4,46,4
4,46,5
4,46,6
4,46,7
4,46,8
4,46,9
4,46,10
4,46,11
4,46,12
4,46,13
4,46,14
4,46,15
4,46,16
4,46,17
4,46,18
4,47,1
4,47,2
4,47,3
4,47,4
4,47,5
4,47,6
4,47,7
4,47,8
4,47,9
4,47,10
4,47,11
4,47,12
4,47,13
4,47,14
4,47,15
4,47,16
4,47,17
4,47,18
4,48,1
4,48,2
4,48,3
4,48,4
4,48,5
4,48,6
4,48,7
4,48,8
4,48,9
4,48,10
4,48,11
4,48,12
4,48,13
4,48,14
4,48,15
4,48,16
4,48,17
4,48,18
4,49,1
4,49,2
4,49,3
4,49,4
4,49,5
4,49,6
4,49,7
4,49,8
4,49,9
4,49,10
4,49,11
4,49,12
4,49,13
4,49,14
4,49,15
4,49,16
4,49,17
4,49,18
4,50,1
4,50,2
4,50,3
4,50,4
4,50,5
4,50,6
4,50,7
4,50,8
4,50,9
4,50,10
4,50,11
4,50,12
4,50,13
4,50,14
4,50,15
4,50,16
4,50,17
4,50,18
4,51,1
4,51,2
4,51,3
4,51,4
4,51,5
4,51,6
4,51,7
4,51,8
4,51,9
4,51,10
4,51,11
4,51,12
4,51,13
4,51,14
4,51,15
4,51,16
4,51,17
4,51,18
4,52,1
4,52,2
4,52,3
4,52,4
4,52,5
4,52,6
4,52,7
4,52,8
4,52,9
4,52,10
4,52,11
4,52,12
4,52,13
4,52,14
4,52,15
4,52,16
4,52,17
4,52,18
4,53,1
4,53,2
4,53,3
4,53,4
4,53,5
4,53,6
4,53,7
4,53,8
4,53,9
4,53,10
4,53,11
4,53,12
4,53,13
4,53,14
4,53,15
4,53,16
4,53,17
4,53,18
4,54,1
4,54,2
4,54,3
4,54,4
4,54,5
4,54,6
4,54,7
4,54,8
4,54,9
4,54,10
4,54,11
4,54,12
4,54,13
4,54,14
4,54,15
4,54,16
4,54,17
4,54,18
4,55,1
4,55,2
4,55,3
4,55,4
4,55,5
4,55,6
4,55,7
4,55,8
4,55,9
4,55,10
4,55,11
4,55,12
4,55,13
4,55,14
4,55,15
4,55,16
4,55,17
4,55,18
4,56,1
4,56,2
4,56,3
4,56,4
4,56,5
4,56,6
4,56,7
4,56,8
4,56,9
4,56,10
4,56,11
4,56,12
4,56,13
4,56,14
4,56,15
4,56,16
4,56,17
4,56,18
4,57,1
4,57,2
4,57,3
4,57,4
4,57,5
4,57,6
4,57,7
4,57,8
4,57,9
4,57,10
4,57,11
4,57,12
4,57,13
4,57,14
4,57,15
4,57,16
4,57,17
4,57,18
4,58,1
4,58,2
4,58,3
4,58,4
4,58,5
4,58,6
4,58,7
4,58,8
4,58,9
4,58,10
4,58,11
4,58,12
4,58,13
4,58,14
4,58,15
4,58,16
4,58,17
4,58,18
4,59,1
4,59,2
4,59,3
4,59,4
4,59,5
4,59,6
4,59,7
4,59,8
4,59,9
4,59,10
4,59,11
4,59,12
4,59,13
4,59,14
4,59,15
4,59,16
4,59,17
4,59,18
4,60,1
4,60,2
4,60,3
4,60,4
4,60,5
4,60,6
4,60,7
4,60,8
4,60,9
4,60,10
4,60,11
4,60,12
4,60,13
4,60,14
4,60,15
4,60,16
4,60,17
4,60,18
4,61,1
4,61,2
4,61,3
4,61,4
4,61,5
4,61,6
4,61,7
4,61,8
4,61,9
4,61,10
4,61,11
4,61,12
4,61,13
4,61,14
4,61,15
4,61,16
4,61,17
4,61,18
4,62,1
4,62,2
4,62,3
4,62,4
4,62,5
4,62,6
4,62,7
4,62,8
4,62,9
4,62,10
4,62,11
4,62,12
4,62,13
4,62,14
4,62,15
4,62,16
4,62,17
4,62,18
4,63,1
4,63,2
4,63,3
4,63,4
4,63,5
4,63,6
4,63,7
4,63,8
4,63,9
4,63,10
4,63,11
4,63,12
4,63,13
4,63,14
4,63,15
4,63,16
4,63,17
4,63,18
4,64,1
4,64,2
4,64,3
4,64,4
4,64,5
4,64,6
4,64,7
4,64,8
4,64,9
4,64,10
4,64,11
4,64,12
4,64,13
4,64,14
4,64,15
4,64,16
4,64,17
4,64,18
