# PRD: 1286 steps; Z4744 RECAL 1 = target + 4 path channels (ch1..ch4),,,,
# ch1=[1#1x64] ch2=[1#MCS] ch3=[2#MCS] ch4=[2#1x64],,,,
target_index,ch1,ch2,ch3,ch4
1,1,1,1,33
1,2,1,1,34
1,3,1,1,35
1,4,1,1,36
1,5,1,1,37
1,6,1,1,38
1,7,1,1,39
1,8,1,1,40
1,9,1,1,41
1,10,1,1,42
1,11,1,1,43
1,12,1,1,44
1,13,1,1,45
1,14,1,1,46
1,15,1,1,47
2,15,1,1,47
2,16,1,1,48
2,17,1,1,49
2,18,1,1,50
2,19,1,1,51
2,20,1,1,52
2,21,1,1,53
2,22,1,1,54
2,23,1,1,55
2,24,1,1,56
2,25,1,1,57
2,26,1,1,58
2,27,1,1,59
2,28,1,1,60
2,29,1,1,61
2,30,1,1,62
2,31,1,1,63
1,32,1,1,64
2,32,1,1,64
2,33,1,1,1
2,34,1,1,2
2,35,1,1,3
2,36,1,1,4
2,37,1,1,5
2,38,1,1,6
2,39,1,1,7
2,40,1,1,8
2,41,1,1,9
2,42,1,1,10
2,43,1,1,11
2,44,1,1,12
2,45,1,1,13
2,46,1,1,14
2,47,1,1,15
2,48,1,1,16
1,49,1,1,17
2,49,1,1,17
2,50,1,1,18
2,51,1,1,19
2,52,1,1,20
2,53,1,1,21
2,54,1,1,22
2,55,1,1,23
2,56,1,1,24
2,57,1,1,25
2,58,1,1,26
2,59,1,1,27
2,60,1,1,28
2,61,1,1,29
2,62,1,1,30
2,63,1,1,31
2,64,1,1,32
