target_index,ch1,ch2,ch3,ch4,1_1X64_SW_x,CH_y
1,1,1,1,33,1,1
1,2,1,1,34,1,2
1,3,1,1,35,1,3
1,4,1,1,36,1,4
1,5,1,1,37,1,5
1,6,1,1,38,1,6
1,7,1,1,39,1,7
1,15,1,1,47,1,8
1,32,1,1,64,1,9
1,49,1,1,17,1,10
1,8,1,1,40,1,11
1,9,1,1,41,1,12
1,10,1,1,42,1,13
1,11,1,1,43,1,14
1,12,1,1,44,1,15
1,13,1,1,45,1,16
1,14,1,1,46,1,17
2,15,1,1,47,2,1
2,16,1,1,48,2,2
2,17,1,1,49,2,3
2,18,1,1,50,2,4
2,19,1,1,51,2,5
2,20,1,1,52,2,6
2,21,1,1,53,2,7
2,22,1,1,54,2,8
2,23,1,1,55,2,9
2,24,1,1,56,2,10
2,25,1,1,57,2,11
2,26,1,1,58,2,12
2,27,1,1,59,2,13
2,28,1,1,60,2,14
2,29,1,1,61,2,15
2,30,1,1,62,2,16
2,31,1,1,63,2,17
2,32,1,1,64,3,1
2,33,1,1,1,3,2
2,34,1,1,2,3,3
2,35,1,1,3,3,4
2,36,1,1,4,3,5
2,37,1,1,5,3,6
2,38,1,1,6,3,7
2,39,1,1,7,3,8
2,40,1,1,8,3,9
2,41,1,1,9,3,10
2,42,1,1,10,3,11
2,43,1,1,11,3,12
2,44,1,1,12,3,13
2,45,1,1,13,3,14
2,46,1,1,14,3,15
2,47,1,1,15,3,16
2,48,1,1,16,3,17
2,49,1,1,17,4,2
2,50,1,1,18,4,3
2,51,1,1,19,4,4
2,52,1,1,20,4,5
2,53,1,1,21,4,6
2,54,1,1,22,4,7
2,55,1,1,23,4,8
2,56,1,1,24,4,9
2,57,1,1,25,4,10
2,58,1,1,26,4,11
2,59,1,1,27,4,12
2,60,1,1,28,4,13
2,61,1,1,29,4,14
2,62,1,1,30,4,15
2,63,1,1,31,4,16
2,64,1,1,32,4,17
