# PRD: 1286 steps; Z4744 RECAL 1 = target + 4 path channels (ch1..ch4),,,,
# ch1=[1#1x64] ch2=[1#MCS] ch3=[2#MCS] ch4=[2#1x64]  2#1x64: target 5,6 写 DAC 到 c4; 与 1# 同路成对,,,,
target_index,ch1,ch2,ch3,ch4
5,33,1,1,1
5,34,1,1,2
5,35,1,1,3
5,36,1,1,4
5,37,1,1,5
5,38,1,1,6
5,39,1,1,7
5,47,1,1,15
5,64,1,1,32
5,17,1,1,49
5,40,1,1,8
5,41,1,1,9
5,42,1,1,10
5,43,1,1,11
5,44,1,1,12
5,45,1,1,13
5,46,1,1,14
6,47,1,1,15
6,48,1,1,16
6,49,1,1,17
6,50,1,1,18
6,51,1,1,19
6,52,1,1,20
6,53,1,1,21
6,54,1,1,22
6,55,1,1,23
6,56,1,1,24
6,57,1,1,25
6,58,1,1,26
6,59,1,1,27
6,60,1,1,28
6,61,1,1,29
6,62,1,1,30
6,63,1,1,31
6,64,1,1,32
6,1,1,1,33
6,2,1,1,34
6,3,1,1,35
6,4,1,1,36
6,5,1,1,37
6,6,1,1,38
6,7,1,1,39
6,8,1,1,40
6,9,1,1,41
6,10,1,1,42
6,11,1,1,43
6,12,1,1,44
6,13,1,1,45
6,14,1,1,46
6,15,1,1,47
6,16,1,1,48
6,17,1,1,49
6,18,1,1,50
6,19,1,1,51
6,20,1,1,52
6,21,1,1,53
6,22,1,1,54
6,23,1,1,55
6,24,1,1,56
6,25,1,1,57
6,26,1,1,58
6,27,1,1,59
6,28,1,1,60
6,29,1,1,61
6,30,1,1,62
6,31,1,1,63
6,32,1,1,64

