target_index,ch1,ch2,ch3,ch4,2_1X64SW_x,CH_y
5,33,1,1,1,1,1
5,34,1,1,2,1,2
5,35,1,1,3,1,3
5,36,1,1,4,1,4
5,37,1,1,5,1,5
5,38,1,1,6,1,6
5,39,1,1,7,1,7
5,47,1,1,15,1,8
5,64,1,1,32,1,9
5,17,1,1,49,1,10
5,40,1,1,8,1,11
5,41,1,1,9,1,12
5,42,1,1,10,1,13
5,43,1,1,11,1,14
5,44,1,1,12,1,15
5,45,1,1,13,1,16
5,46,1,1,14,1,17
6,47,1,1,15,2,1
6,48,1,1,16,2,2
6,49,1,1,17,2,3
6,50,1,1,18,2,4
6,51,1,1,19,2,5
6,52,1,1,20,2,6
6,53,1,1,21,2,7
6,54,1,1,22,2,8
6,55,1,1,23,2,9
6,56,1,1,24,2,10
6,57,1,1,25,2,11
6,58,1,1,26,2,12
6,59,1,1,27,2,13
6,60,1,1,28,2,14
6,61,1,1,29,2,15
6,62,1,1,30,2,16
6,63,1,1,31,2,17
6,64,1,1,32,3,1
6,1,1,1,33,3,2
6,2,1,1,34,3,3
6,3,1,1,35,3,4
6,4,1,1,36,3,5
6,5,1,1,37,3,6
6,6,1,1,38,3,7
6,7,1,1,39,3,8
6,8,1,1,40,3,9
6,9,1,1,41,3,10
6,10,1,1,42,3,11
6,11,1,1,43,3,12
6,12,1,1,44,3,13
6,13,1,1,45,3,14
6,14,1,1,46,3,15
6,15,1,1,47,3,16
6,16,1,1,48,3,17
6,17,1,1,49,4,2
6,18,1,1,50,4,3
6,19,1,1,51,4,4
6,20,1,1,52,4,5
6,21,1,1,53,4,6
6,22,1,1,54,4,7
6,23,1,1,55,4,8
6,24,1,1,56,4,9
6,25,1,1,57,4,10
6,26,1,1,58,4,11
6,27,1,1,59,4,12
6,28,1,1,60,4,13
6,29,1,1,61,4,14
6,30,1,1,62,4,15
6,31,1,1,63,4,16
6,32,1,1,64,4,17
