# PM MCS1 (target=3): 32x18=576; ch1 1..32 (blocks of 18), ch2/ch3 1..18 paired, ch4=ch1+32.
# ch1=[1#1x64] ch2=[1#MCS] ch3=[2#MCS] ch4=[2#1x64]
target_index,ch1,ch2,ch3,ch4
3,1,1,1,33
3,1,2,2,33
3,1,3,3,33
3,1,4,4,33
3,1,5,5,33
3,1,6,6,33
3,1,7,7,33
3,1,8,8,33
3,1,9,9,33
3,1,10,10,33
3,1,11,11,33
3,1,12,12,33
3,1,13,13,33
3,1,14,14,33
3,1,15,15,33
3,1,16,16,33
3,1,17,17,33
3,1,18,18,33
3,2,1,1,34
3,2,2,2,34
3,2,3,3,34
3,2,4,4,34
3,2,5,5,34
3,2,6,6,34
3,2,7,7,34
3,2,8,8,34
3,2,9,9,34
3,2,10,10,34
3,2,11,11,34
3,2,12,12,34
3,2,13,13,34
3,2,14,14,34
3,2,15,15,34
3,2,16,16,34
3,2,17,17,34
3,2,18,18,34
3,3,1,1,35
3,3,2,2,35
3,3,3,3,35
3,3,4,4,35
3,3,5,5,35
3,3,6,6,35
3,3,7,7,35
3,3,8,8,35
3,3,9,9,35
3,3,10,10,35
3,3,11,11,35
3,3,12,12,35
3,3,13,13,35
3,3,14,14,35
3,3,15,15,35
3,3,16,16,35
3,3,17,17,35
3,3,18,18,35
3,4,1,1,36
3,4,2,2,36
3,4,3,3,36
3,4,4,4,36
3,4,5,5,36
3,4,6,6,36
3,4,7,7,36
3,4,8,8,36
3,4,9,9,36
3,4,10,10,36
3,4,11,11,36
3,4,12,12,36
3,4,13,13,36
3,4,14,14,36
3,4,15,15,36
3,4,16,16,36
3,4,17,17,36
3,4,18,18,36
3,5,1,1,37
3,5,2,2,37
3,5,3,3,37
3,5,4,4,37
3,5,5,5,37
3,5,6,6,37
3,5,7,7,37
3,5,8,8,37
3,5,9,9,37
3,5,10,10,37
3,5,11,11,37
3,5,12,12,37
3,5,13,13,37
3,5,14,14,37
3,5,15,15,37
3,5,16,16,37
3,5,17,17,37
3,5,18,18,37
3,6,1,1,38
3,6,2,2,38
3,6,3,3,38
3,6,4,4,38
3,6,5,5,38
3,6,6,6,38
3,6,7,7,38
3,6,8,8,38
3,6,9,9,38
3,6,10,10,38
3,6,11,11,38
3,6,12,12,38
3,6,13,13,38
3,6,14,14,38
3,6,15,15,38
3,6,16,16,38
3,6,17,17,38
3,6,18,18,38
3,7,1,1,39
3,7,2,2,39
3,7,3,3,39
3,7,4,4,39
3,7,5,5,39
3,7,6,6,39
3,7,7,7,39
3,7,8,8,39
3,7,9,9,39
3,7,10,10,39
3,7,11,11,39
3,7,12,12,39
3,7,13,13,39
3,7,14,14,39
3,7,15,15,39
3,7,16,16,39
3,7,17,17,39
3,7,18,18,39
3,8,1,1,40
3,8,2,2,40
3,8,3,3,40
3,8,4,4,40
3,8,5,5,40
3,8,6,6,40
3,8,7,7,40
3,8,8,8,40
3,8,9,9,40
3,8,10,10,40
3,8,11,11,40
3,8,12,12,40
3,8,13,13,40
3,8,14,14,40
3,8,15,15,40
3,8,16,16,40
3,8,17,17,40
3,8,18,18,40
3,9,1,1,41
3,9,2,2,41
3,9,3,3,41
3,9,4,4,41
3,9,5,5,41
3,9,6,6,41
3,9,7,7,41
3,9,8,8,41
3,9,9,9,41
3,9,10,10,41
3,9,11,11,41
3,9,12,12,41
3,9,13,13,41
3,9,14,14,41
3,9,15,15,41
3,9,16,16,41
3,9,17,17,41
3,9,18,18,41
3,10,1,1,42
3,10,2,2,42
3,10,3,3,42
3,10,4,4,42
3,10,5,5,42
3,10,6,6,42
3,10,7,7,42
3,10,8,8,42
3,10,9,9,42
3,10,10,10,42
3,10,11,11,42
3,10,12,12,42
3,10,13,13,42
3,10,14,14,42
3,10,15,15,42
3,10,16,16,42
3,10,17,17,42
3,10,18,18,42
3,11,1,1,43
3,11,2,2,43
3,11,3,3,43
3,11,4,4,43
3,11,5,5,43
3,11,6,6,43
3,11,7,7,43
3,11,8,8,43
3,11,9,9,43
3,11,10,10,43
3,11,11,11,43
3,11,12,12,43
3,11,13,13,43
3,11,14,14,43
3,11,15,15,43
3,11,16,16,43
3,11,17,17,43
3,11,18,18,43
3,12,1,1,44
3,12,2,2,44
3,12,3,3,44
3,12,4,4,44
3,12,5,5,44
3,12,6,6,44
3,12,7,7,44
3,12,8,8,44
3,12,9,9,44
3,12,10,10,44
3,12,11,11,44
3,12,12,12,44
3,12,13,13,44
3,12,14,14,44
3,12,15,15,44
3,12,16,16,44
3,12,17,17,44
3,12,18,18,44
3,13,1,1,45
3,13,2,2,45
3,13,3,3,45
3,13,4,4,45
3,13,5,5,45
3,13,6,6,45
3,13,7,7,45
3,13,8,8,45
3,13,9,9,45
3,13,10,10,45
3,13,11,11,45
3,13,12,12,45
3,13,13,13,45
3,13,14,14,45
3,13,15,15,45
3,13,16,16,45
3,13,17,17,45
3,13,18,18,45
3,14,1,1,46
3,14,2,2,46
3,14,3,3,46
3,14,4,4,46
3,14,5,5,46
3,14,6,6,46
3,14,7,7,46
3,14,8,8,46
3,14,9,9,46
3,14,10,10,46
3,14,11,11,46
3,14,12,12,46
3,14,13,13,46
3,14,14,14,46
3,14,15,15,46
3,14,16,16,46
3,14,17,17,46
3,14,18,18,46
3,15,1,1,47
3,15,2,2,47
3,15,3,3,47
3,15,4,4,47
3,15,5,5,47
3,15,6,6,47
3,15,7,7,47
3,15,8,8,47
3,15,9,9,47
3,15,10,10,47
3,15,11,11,47
3,15,12,12,47
3,15,13,13,47
3,15,14,14,47
3,15,15,15,47
3,15,16,16,47
3,15,17,17,47
3,15,18,18,47
3,16,1,1,48
3,16,2,2,48
3,16,3,3,48
3,16,4,4,48
3,16,5,5,48
3,16,6,6,48
3,16,7,7,48
3,16,8,8,48
3,16,9,9,48
3,16,10,10,48
3,16,11,11,48
3,16,12,12,48
3,16,13,13,48
3,16,14,14,48
3,16,15,15,48
3,16,16,16,48
3,16,17,17,48
3,16,18,18,48
3,17,1,1,49
3,17,2,2,49
3,17,3,3,49
3,17,4,4,49
3,17,5,5,49
3,17,6,6,49
3,17,7,7,49
3,17,8,8,49
3,17,9,9,49
3,17,10,10,49
3,17,11,11,49
3,17,12,12,49
3,17,13,13,49
3,17,14,14,49
3,17,15,15,49
3,17,16,16,49
3,17,17,17,49
3,17,18,18,49
3,18,1,1,50
3,18,2,2,50
3,18,3,3,50
3,18,4,4,50
3,18,5,5,50
3,18,6,6,50
3,18,7,7,50
3,18,8,8,50
3,18,9,9,50
3,18,10,10,50
3,18,11,11,50
3,18,12,12,50
3,18,13,13,50
3,18,14,14,50
3,18,15,15,50
3,18,16,16,50
3,18,17,17,50
3,18,18,18,50
3,19,1,1,51
3,19,2,2,51
3,19,3,3,51
3,19,4,4,51
3,19,5,5,51
3,19,6,6,51
3,19,7,7,51
3,19,8,8,51
3,19,9,9,51
3,19,10,10,51
3,19,11,11,51
3,19,12,12,51
3,19,13,13,51
3,19,14,14,51
3,19,15,15,51
3,19,16,16,51
3,19,17,17,51
3,19,18,18,51
3,20,1,1,52
3,20,2,2,52
3,20,3,3,52
3,20,4,4,52
3,20,5,5,52
3,20,6,6,52
3,20,7,7,52
3,20,8,8,52
3,20,9,9,52
3,20,10,10,52
3,20,11,11,52
3,20,12,12,52
3,20,13,13,52
3,20,14,14,52
3,20,15,15,52
3,20,16,16,52
3,20,17,17,52
3,20,18,18,52
3,21,1,1,53
3,21,2,2,53
3,21,3,3,53
3,21,4,4,53
3,21,5,5,53
3,21,6,6,53
3,21,7,7,53
3,21,8,8,53
3,21,9,9,53
3,21,10,10,53
3,21,11,11,53
3,21,12,12,53
3,21,13,13,53
3,21,14,14,53
3,21,15,15,53
3,21,16,16,53
3,21,17,17,53
3,21,18,18,53
3,22,1,1,54
3,22,2,2,54
3,22,3,3,54
3,22,4,4,54
3,22,5,5,54
3,22,6,6,54
3,22,7,7,54
3,22,8,8,54
3,22,9,9,54
