path,cmd,attempt,peak_ok,code,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 64 4 80,1,0,ParabolaNotDownward,2543,-240044,-240038,-240034,-240046,-240044,-240028,-240021,-240005,-240022,-240022,-240019,-240036,-240009,-240008,-240020,-240018,-240012,-240011,-240013,-240016,-240014,-240007,-240016,-239992,-239995,-240004,-240014,-240015,-240004,-239999,-239989,-239990,-239988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 200 4 80,2,1,Ok,2407,-496550,-496564,-496645,-496645,-496741,-496779,-496708,-496573,-496894,-496695,-496812,-497013,-496550,-496487,-496137,-496110,-495847,-495178,-494567,-493275,-491554,-489292,-485769,-480988,-474417,-465274,-454132,-441845,-428847,-415450,-401953,-388756,-375766,-363169,-351121,-339405,-328394,-317940,-308078,-299047,-290477,-282470,-275371,-268899,-263209,-258233,-253992,-250551,-247845,-245930,-244839,-244534,-245032,-246342,-248459,-251360,-255104,-259698,-265129,-271420,-278629,-286671,-295741,-305570,-316406,-328192,-341014,-354883,-369866,-385977,-403114,-421097,-439819,-458116,-473567,-483816,-489214,-492716,-494471,-494959,-495638,-495656,-495887,-496061,-496664,-496341,-496346,-496663,-496543,-496707,-496975,-496772,-496911,-497006,-496860,-497083,-496928,-496886,-496771,-496988,-496784,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 2611 64 4 80,3,1,Ok,2547,-339216,-328186,-317754,-307923,-298843,-290326,-282372,-275237,-268782,-263070,-258082,-253905,-250466,-247766,-245890,-244784,-244469,-244981,-246303,-248431,-251348,-255097,-259721,-265147,-271436,-278652,-286685,-295785,-305642,-316494,-328269,-341113,-355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 1 9999 2611 64 4 80,1,1,Ok,-2923,-486017,-475026,-450276,-418105,-386001,-356600,-330513,-307751,-288234,-271908,-258684,-248608,-241592,-237608,-236763,-239060,-244473,-253056,-264826,-279767,-298040,-319357,-343576,-370557,-399330,-428800,-456248,-476342,-486983,-491531,-494474,-495810,-496303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2478,-331504,-320313,-309635,-299603,-290154,-281396,-273248,-265788,-259047,-252953,-247617,-243041,-239147,-236068,-233731,-232185,-231398,-231405,-232203,-233808,-236177,-239392,-243425,-248349,-254084,-260734,-268240,-276669,-285979,-296360,-307637,-319896,-333216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 1 9999 2544 64 4 80,1,1,Ok,-2279,-412354,-387136,-363273,-341355,-321305,-303259,-287096,-272950,-260703,-250346,-241978,-235397,-230759,-228035,-227223,-228307,-231312,-236223,-243101,-251931,-262720,-275498,-290319,-306953,-325501,-345797,-367473,-390610,-414386,-437584,-458709,-474987,-484095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2539,-334887,-322906,-311538,-300850,-290821,-281329,-272743,-264796,-257554,-251125,-245430,-240574,-236426,-233181,-230671,-229037,-228226,-228255,-229109,-230877,-233469,-236909,-241226,-246436,-252565,-259629,-267623,-276574,-286417,-297435,-309330,-322258,-336310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 1 9999 2605 64 4 80,1,1,Ok,-1349,-290394,-281297,-273049,-265432,-258531,-252307,-246768,-241930,-237738,-234211,-231383,-229184,-227654,-226770,-226562,-227015,-228142,-229935,-232360,-235436,-239201,-243582,-248613,-254270,-260581,-267495,-275019,-283090,-291956,-301305,-311224,-321715,-332771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2436,-321658,-310423,-299847,-289879,-280468,-271841,-263887,-256578,-250052,-244155,-239038,-234608,-230957,-228043,-225871,-224511,-223847,-223947,-224799,-226417,-228867,-232086,-236102,-240940,-246535,-252967,-260235,-268331,-277288,-287104,-297903,-309384,-321953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 1 9999 2501 64 4 80,1,1,Ok,1249,-298417,-289284,-280598,-272596,-265187,-258344,-252091,-246433,-241462,-236985,-233174,-229989,-227417,-225505,-224268,-223690,-223784,-224572,-226040,-228230,-231156,-234772,-239143,-244278,-250092,-256685,-264100,-272250,-281191,-291020,-301490,-312692,-324693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
