line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2543.000000,33,0,ParabolaNotDownward,58.000000,Flat,32,-239988.000000,,,,0,
3,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,2407.000000,101,1,Ok,252549.000000,NonMono,51,-244534.000000,50.875174,51,2610.500697,7,[48]=-247845;[49]=-245930;[50]=-244839;[51]=-244534;[52]=-245032;[53]=-246342;[54]=-248459
4,RECAL 3 0 9999 2611 64 4 80,0,9999,2611,0,64,4,80,2547.000000,33,1,Ok,110531.000000,NonMono,16,-244469.000000,15.879321,16,2610.517284,7,[13]=-247766;[14]=-245890;[15]=-244784;[16]=-244469;[17]=-244981;[18]=-246303;[19]=-248431
5,RECAL 3 1 9999 2611 64 4 80,1,9999,2611,0,64,4,80,-2923.000000,33,1,Ok,259540.000000,NonMono,14,-236763.000000,13.767813,14,-2867.928747,5,[12]=-241592;[13]=-237608;[14]=-236763;[15]=-239060;[16]=-244473
6,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2478.000000,33,1,Ok,101818.000000,NonMono,16,-231398.000000,16.492918,16,2543.971674,7,[13]=-236068;[14]=-233731;[15]=-232185;[16]=-231398;[17]=-231405;[18]=-232203;[19]=-233808
7,RECAL 3 1 9999 2544 64 4 80,1,9999,2544,0,64,4,80,-2279.000000,33,1,Ok,256872.000000,NonMono,14,-227223.000000,13.929098,14,-2223.283609,5,[12]=-230759;[13]=-228035;[14]=-227223;[15]=-228307;[16]=-231312
8,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2539.000000,33,1,Ok,108084.000000,NonMono,16,-228226.000000,16.465316,16,2604.861262,7,[13]=-233181;[14]=-230671;[15]=-229037;[16]=-228226;[17]=-228255;[18]=-229109;[19]=-230877
9,RECAL 3 1 9999 2605 64 4 80,1,9999,2605,0,64,4,80,-1349.000000,33,1,Ok,106209.000000,NonMono,14,-226562.000000,13.819017,14,-1293.723930,7,[11]=-229184;[12]=-227654;[13]=-226770;[14]=-226562;[15]=-227015;[16]=-228142;[17]=-229935
10,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2436.000000,33,1,Ok,98106.000000,NonMono,16,-223847.000000,16.363246,16,2501.452984,7,[13]=-228043;[14]=-225871;[15]=-224511;[16]=-223847;[17]=-223947;[18]=-224799;[19]=-226417
11,RECAL 3 1 9999 2501 64 4 80,1,9999,2501,0,64,4,80,1249.000000,33,1,Ok,101003.000000,NonMono,15,-223690.000000,15.353578,15,1310.414313,7,[12]=-227417;[13]=-225505;[14]=-224268;[15]=-223690;[16]=-223784;[17]=-224572;[18]=-226040
