IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#MCS,RECAL 1 3 27 1 1 59,,2,2,0,1,1,OK,pm_pm_mcs1,1019;1020
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#MCS,RECAL 1 4 27 1 1 59,,2,2,0,1,1,OK,pm_pm_mcs2,2319;2320
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.5817,470,MPO40-2,MPO88-2,27,2,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.5817,470,MPO40-2,MPO88-2,27,2,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#MCS,RECAL 1 3 27 2 2 59,,2,2,0,1,1,OK,pm_pm_mcs1,1021;1022
0.5817,470,MPO40-2,MPO88-2,27,2,59,2#MCS,RECAL 1 4 27 2 2 59,,2,2,0,1,1,OK,pm_pm_mcs2,2321;2322
0.2844,471,MPO40-3,MPO88-3,27,3,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.2844,471,MPO40-3,MPO88-3,27,3,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.2844,471,MPO40-3,MPO88-3,27,3,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
0.2844,471,MPO40-3,MPO88-3,27,3,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
0.2844,471,MPO40-3,MPO88-3,27,3,59,1#MCS,RECAL 1 3 27 3 3 59,,2,2,0,1,1,OK,pm_pm_mcs1,1023;1024
0.2844,471,MPO40-3,MPO88-3,27,3,59,2#MCS,RECAL 1 4 27 3 3 59,,2,2,0,1,1,OK,pm_pm_mcs2,2323;2324
0.3286,472,MPO40-4,MPO88-4,27,4,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
0.3286,472,MPO40-4,MPO88-4,27,4,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
0.3286,472,MPO40-4,MPO88-4,27,4,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
