IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,csv_line,path_file,slot,step_in_path,cmd,axis,attempt,peak_ok,code,col0,n_samples,span_raw,span_db,argmax_idx,peak_raw
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,2572,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,0,ParabolaNotDownward,29,33,1011,0.1011,7,-249873
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,2573,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 200 4 80,Y,2,0,ParabolaNotDownward,-107,101,8267,0.8267,0,-248874
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,2574,pm_pm_1x64_1,3,8,RECAL 3 0 9999 -307 200 4 80,Y,3,1,Ok,-507,101,28532,2.8532,82,-248035
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,2575,pm_pm_1x64_1,3,8,RECAL 3 0 9999 -195 64 4 80,Y,4,1,Ok,-259,33,582,0.0582,16,-247940
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#SW1级联,RECAL 1 1 15 1 1 47,2576,pm_pm_1x64_1,3,8,RECAL 3 1 9999 -191 64 4 80,X,1,1,Ok,2123,33,225933,22.5933,18,-246169
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#叶子,RECAL 1 2 27 1 1 59,2625,pm_pm_1x64_1,3,30,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2288,33,79973,7.9973,15,-253925
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#叶子,RECAL 1 2 27 1 1 59,2626,pm_pm_1x64_1,3,30,RECAL 3 1 9999 -2229 64 4 80,X,1,1,Ok,-2911,33,246086,24.6086,14,-249925
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#SW1级联,RECAL 1 5 17 1 1 49,2729,pm_pm_1x64_2,4,10,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-1042,33,17725,1.7725,13,-242645
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#SW1级联,RECAL 1 5 17 1 1 49,2730,pm_pm_1x64_2,4,10,RECAL 3 1 9999 -989 64 4 80,X,1,1,Ok,-1390,33,95937,9.5937,17,-242326
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#叶子,RECAL 1 6 27 1 1 59,2841,pm_pm_1x64_2,4,62,RECAL 3 0 9999 9999 64 4 80,Y,1,0,ParabolaNotDownward,-343,33,2140,0.2140,6,-253068
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#叶子,RECAL 1 6 27 1 1 59,2842,pm_pm_1x64_2,4,62,RECAL 3 0 9999 9999 200 4 80,Y,2,1,Ok,-479,101,8956,0.8956,38,-252819
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#叶子,RECAL 1 6 27 1 1 59,2843,pm_pm_1x64_2,4,62,RECAL 3 0 9999 -328 64 4 80,Y,3,1,Ok,-392,33,1250,0.1250,15,-252778
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#叶子,RECAL 1 6 27 1 1 59,2844,pm_pm_1x64_2,4,62,RECAL 3 1 9999 -328 64 4 80,X,1,1,Ok,-2867,33,251273,25.1273,14,-244818
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#MCS,RECAL 1 3 27 1 1 59,1019,pm_pm_mcs1,1,469,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2222,33,93883,9.3883,17,-254036
1.0303,469,MPO40-1,MPO88-1,27,1,59,1#MCS,RECAL 1 3 27 1 1 59,1020,pm_pm_mcs1,1,469,RECAL 3 1 9999 2289 64 4 80,X,1,1,Ok,-2935,33,247192,24.7192,14,-249762
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#MCS,RECAL 1 4 27 1 1 59,2319,pm_pm_mcs2,2,469,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2430,33,107522,10.7522,17,-253206
1.0303,469,MPO40-1,MPO88-1,27,1,59,2#MCS,RECAL 1 4 27 1 1 59,2320,pm_pm_mcs2,2,469,RECAL 3 1 9999 2500 64 4 80,X,1,1,Ok,-2894,33,248728,24.8728,14,-247500
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#SW1级联,RECAL 1 1 15 1 1 47,2572,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,0,ParabolaNotDownward,29,33,1011,0.1011,7,-249873
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#SW1级联,RECAL 1 1 15 1 1 47,2573,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 200 4 80,Y,2,0,ParabolaNotDownward,-107,101,8267,0.8267,0,-248874
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#SW1级联,RECAL 1 1 15 1 1 47,2574,pm_pm_1x64_1,3,8,RECAL 3 0 9999 -307 200 4 80,Y,3,1,Ok,-507,101,28532,2.8532,82,-248035
0.5817,470,MPO40-2,MPO88-2,27,2,59,1#SW1级联,RECAL 1 1 15 1 1 47,2575,pm_pm_1x64_1,3,8,RECAL 3 0 9999 -195 64 4 80,Y,4,1,Ok,-259,33,582,0.0582,16,-247940
