Channel,InPort,OutPort,WlLabel,SampleCount,IL_Max,IL_Min,IL_Span
CH100,MPO9-4,MPO57-4,Laser_1310,71,0.811500,0.774700,0.036800
CH101,MPO9-5,MPO57-5,Laser_1310,71,0.713400,0.680000,0.033400
CH102,MPO9-6,MPO57-6,Laser_1310,71,0.667900,0.628700,0.039200
CH103,MPO9-7,MPO57-7,Laser_1310,71,0.074500,0.030800,0.043700
CH104,MPO9-8,MPO57-8,Laser_1310,71,0.328300,0.240200,0.088100
CH105,MPO9-9,MPO57-9,Laser_1310,71,0.284800,0.252400,0.032400
CH106,MPO9-10,MPO57-10,Laser_1310,71,0.132300,0.105100,0.027200
CH107,MPO9-11,MPO57-11,Laser_1310,71,-0.167900,-0.200600,0.032700
CH108,MPO9-12,MPO57-12,Laser_1310,71,0.052700,-0.069900,0.122600
CH109,MPO10-1,MPO58-1,Laser_1310,71,1.408900,1.376800,0.032100
CH10,MPO1-10,MPO49-10,Laser_1310,71,0.793600,0.768500,0.025100
CH110,MPO10-2,MPO58-2,Laser_1310,71,1.635600,1.593400,0.042200
CH111,MPO10-3,MPO58-3,Laser_1310,71,1.525200,1.495100,0.030100
CH112,MPO10-4,MPO58-4,Laser_1310,71,1.639400,1.612400,0.027000
CH113,MPO10-5,MPO58-5,Laser_1310,71,1.457700,1.429500,0.028200
CH114,MPO10-6,MPO58-6,Laser_1310,71,1.507200,1.472100,0.035100
CH115,MPO10-7,MPO58-7,Laser_1310,71,1.086200,1.062100,0.024100
CH116,MPO10-8,MPO58-8,Laser_1310,71,1.059200,1.023900,0.035300
CH117,MPO10-9,MPO58-9,Laser_1310,71,1.258300,1.219500,0.038800
CH118,MPO10-10,MPO58-10,Laser_1310,71,1.381500,1.355000,0.026500
CH119,MPO10-11,MPO58-11,Laser_1310,71,1.379500,1.351900,0.027600
CH11,MPO1-11,MPO49-11,Laser_1310,71,1.023600,1.000300,0.023300
CH120,MPO10-12,MPO58-12,Laser_1310,71,1.220900,1.200900,0.020000
CH121,MPO11-1,MPO59-1,Laser_1310,71,0.672700,0.637300,0.035400
CH122,MPO11-2,MPO59-2,Laser_1310,71,1.102600,1.070900,0.031700
CH123,MPO11-3,MPO59-3,Laser_1310,71,1.165000,1.128300,0.036700
CH124,MPO11-4,MPO59-4,Laser_1310,71,0.921900,0.876500,0.045400
CH125,MPO11-5,MPO59-5,Laser_1310,71,0.957800,0.921100,0.036700
CH126,MPO11-6,MPO59-6,Laser_1310,71,0.718100,0.688900,0.029200
CH127,MPO11-7,MPO59-7,Laser_1310,71,1.412800,1.388700,0.024100
CH128,MPO11-8,MPO59-8,Laser_1310,71,1.159000,1.038700,0.120300
CH129,MPO11-9,MPO59-9,Laser_1310,71,1.773600,1.741400,0.032200
CH12,MPO1-12,MPO49-12,Laser_1310,71,0.942300,0.919500,0.022800
