base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
2122,-2727,16,16,-236095,-236055,2185,-2659
2080,-2125,17,16,-237045,-237495,2143,-2058
2121,-1254,16,16,-238191,-238200,2185,-1188
2054,1172,16,16,-238128,-238127,2117,1237
2137,2021,NULL,NULL,NULL,NULL,NULL,NULL
2130,2614,16,16,-233400,-233377,2194,2678
-476,2637,16,13,-234524,-234521,-424.5,2701
-397,2050,16,17,-233254,-233251,-330,2113
-774,1222,16,16,-236098,-236114,-710.2,1286
-504,-1198,17,17,-238354,-238410,-433.6,-1132
-699,-2091,16,17,-236163,-236170,-633.3,-2025
-545,-2699,16,18,-234997,-234966,-472.6,-2633
-2322,-2733,16,16,-238782,-238817,-2257,-2668
-2357,-2137,16,17,-234450,-234550,-2291,-2071
-2316,-1279,16,16,-234333,-234331,-2253,-1214
-2378,1145,16,16,-235267,-235253,-2314,1210
-2301,2003,16,16,-231988,-232035,-2236,2066
-2313,2599,16,16,-234783,-234758,-2249,2661
2118,-2797,16,15,-232888,-232912,2180,-2729
2029,-2203,16,16,-233080,-233101,2092,-2139
2015,-1361,16,16,-233739,-233720,2079,-1296
2025,1103,16,16,-234406,-234416,2088,1166
2085,1998,15,16,-234085,-234692,2148,2059
2018,2604,16,15,-233501,-233467,2079,2664
-864,2590,15,16,-233037,-233159,-800.4,2656
-610,1978,16,18,-231766,-231776,-538.9,2041
-798,1072,16,15,-233030,-233013,-737.4,1135
-831,-1386,16,15,-232410,-232404,-771.9,-1321
-803,-2218,16,15,-231898,-231883,-743.4,-2153
-448,-2808,17,15,-231085,-231317,-389.5,-2742
-2292,-2830,16,16,-231969,-231955,-2227,-2764
-2370,-2248,16,17,-231047,-231094,-2303,-2183
-2379,-1436,16,16,-231262,-231291,-2315,-1371
-2372,1005,16,17,-230969,-231046,-2305,1071
-2316,1942,16,16,-231713,-231704,-2252,2007
-2381,2561,15,16,-232084,-232088,-2318,2623
2107,-2705,16,16,-235290,-235264,2170,-2638
2138,-2115,16,15,-235784,-235802,2200,-2049
2043,-1269,16,16,-237981,-237971,2107,-1205
-2.156e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2120,1982,15,15,-234408,-235115,2181,2042
2113,2570,16,16,-233500,-233507,2177,2632
-484,2545,16,16,-233543,-233538,-419.2,2608
-416,1950,16,16,-234952,-234933,-351.3,2012
-777,1084,16,16,-235290,-235312,-711.2,1147
-753,-1315,16,16,-236219,-236214,-687.4,-1249
-275,-2142,16,19,-235496,-235471,-199.4,-2076
-522,-2723,16,19,-235963,-235921,-449,-2657
-2301,-2697,16,17,-233526,-233512,-2234,-2631
-2270,-2107,17,16,-235370,-235558,-2205,-2041
-2356,-1262,NULL,NULL,NULL,NULL,NULL,NULL
-2362,1140,16,16,-232268,-232300,-2297,1203
-2284,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2296,2571,16,16,-233862,-233913,-2230,2631
2120,-2793,16,16,-234632,-234696,2182,-2729
2130,-2207,16,15,-236255,-236329,2192,-2144
2082,-1385,16,16,-236729,-236791,2144,-1321
2163,1056,16,15,-238317,-238430,2225,1119
2175,1961,16,16,-237797,-237815,2239,2024
2187,2575,16,16,-237842,-237855,2252,2636
