2122,-316068,-306524,-297538,-999999,-281354,-274156,-267499,-261451,-256063,-251313,-247197,-243739,-240916,-238731,-237206,-236307,-236055,-236496,-237565,-239314,-241694,-244771,-248464,-252803,-999999,-263462,-269774,-276741,-284342,-292584,-301276,-310718,-320746
-2727,-505472,-492145,-473065,-450860,-427543,-404006,-380150,-356724,-334123,-313014,-294282,-277709,-263741,-252611,-244297,-238793,-236095,-236132,-238915,-244443,-252610,-263311,-276435,-291718,-308941,-327812,-347769,-369105,-391537,-414925,-438815,-462586,-484843
2080,-311814,-999999,-294281,-286383,-278997,-272198,-266016,-260435,-255499,-251127,-247357,-244196,-241628,-239659,-238327,-237594,-237495,-238032,-239189,-240993,-243445,-246529,-250265,-254654,-259618,-265341,-271669,-278659,-286284,-294482,-303294,-312682,-322637
-2125,-442445,-422325,-402602,-383457,-365387,-347685,-330815,-314919,-300129,-286762,-274744,-264312,-255600,-248585,-243226,-239491,-237438,-237045,-238292,-241117,-245475,-251413,-258805,-267643,-277811,-289204,-301637,-315179,-329706,-345171,-361388,-378506,-396391
2121,-320007,-310392,-301345,-999999,-284929,-277589,-270813,-264636,-259071,-254177,-249933,-246355,-243414,-241110,-239504,-238526,-238200,-238565,-239562,-241246,-243581,-246617,-250300,-254589,-259555,-265212,-271477,-278386,-285898,-294021,-302576,-311827,-321596
-1254,-314556,-305869,-297571,-289723,-282368,-275537,-269227,-263490,-258323,-253746,-249825,-246429,-243603,-241385,-239756,-999999,-238191,-238273,-238920,-240070,-241791,-244024,-246749,-249979,-253690,-257893,-262490,-267611,-273140,-279075,-285359,-292007,-298958
2054,-313744,-304545,-295920,-287912,-280424,-273538,-267250,-261616,-256606,-252213,-248403,-245198,-242594,-240564,-239161,-238348,-238127,-238535,-239516,-241107,-999999,-246109,-249523,-253586,-258301,-263652,-269646,-276245,-283430,-291227,-299581,-308427,-317890
1172,-311332,-303297,-295646,-288416,-281428,-274917,-268837,-263281,-258197,-253683,-249738,-246360,-243550,-241281,-239605,-238557,-238128,-238315,-239126,-240569,-242619,-245259,-248552,-252443,-256959,-262088,-267824,-274091,-280983,-288471,-296419,-304945,-313938
2137,-318531,-308651,-299266,-290457,-282227,-274658,-267669,-261345,-255677,-250672,-246378,-242652,-239570,-237148,-235386,-234294,-233851,-234075,-234973,-236476,-238692,-241547,-245056,-249221,-254049,-259576,-265647,-272472,-279969,-288116,-296889,-306358,-316419
2021,-413252,-395124,-377401,-360252,-343697,-327691,-312597,-298556,-285538,-273710,-263278,-254336,-246952,-241193,-237062,-234610,-999999,-234865,-237687,-242312,-248714,-256936,-266921,-278450,-291719,-306479,-322623,-339921,-999999,-377213,-397104,-417620,-438269
2130,-312472,-999999,-294104,-285829,-278050,-270846,-264295,-258406,-253109,-248456,-244433,-241016,-238253,-236082,-234562,-233655,-233377,-233751,-234782,-236441,-238774,-241696,-999999,-249485,-254354,-259888,-266105,-272962,-280378,-288605,-297418,-307004,-317250
2614,-492933,-473696,-450570,-427344,-403656,-380566,-358072,-336456,-999999,-297465,-280874,-266590,-254761,-245471,-238729,-234683,-233400,-234913,-239268,-246442,-256590,-269763,-285842,-304706,-326167,-349815,-374856,-401026,-427000,-999999,-475013,-494189,-506850
-476,-236056,-235806,-235592,-235396,-235214,-235069,-234926,-234808,-234717,-234648,-234599,-234545,-234538,-234521,-234525,-234558,-234601,-234661,-234716,-234794,-234899,-234993,-235122,-235248,-235396,-235552,-235700,-235881,-236068,-236257,-236461,-236670,-236886
2637,-498608,-482047,-999999,-436989,-412562,-388667,-365615,-343637,-322796,-303637,-286429,-271383,-258702,-248721,-241231,-236456,-234524,-235440,-239304,-246128,-255948,-268885,-285027,-304145,-326069,-350379,-376191,-402746,-428797,-452907,-475536,-494160,-506384
-397,-235067,-234821,-234604,-234427,-234251,-234091,-233952,-233817,-233707,-233599,-233510,-233437,-233371,-233345,-999999,-233274,-233257,-233251,-233265,-233293,-233318,-233359,-233407,-233461,-233519,-233575,-233669,-233767,-233851,-233941,-234042,-234146,-234287
2050,-420560,-401768,-383231,-365402,-348183,-331607,-315927,-301217,-287596,-275171,-264162,-254679,-246880,-240769,-236429,-233918,-233254,-234453,-237538,-242543,-249464,-999999,-268940,-281387,-295344,-310747,-327439,-345297,-364025,-383529,-403641,-424249,-444934
-774,-245076,-243956,-242930,-241964,-241070,-240272,-239529,-238874,-238296,-237785,-237322,-236951,-999999,-236403,-236224,-236115,-236114,-236116,-236211,-236329,-236545,-236804,-237118,-999999,-237960,-238427,-238953,-239538,-240157,-240837,-241552,-242314,-243116
1222,-315081,-306139,-297584,-999999,-281936,-274843,-268288,-262331,-256984,-252223,-248024,-244466,-241522,-239193,-237492,-236471,-236098,-236404,-237351,-239022,-241359,-244385,-248075,-252498,-257634,-263522,-270091,-277354,-285260,-293795,-302943,-312531,-322780
-504,-242220,-241777,-241352,-240962,-240584,-240270,-239997,-239711,-239461,-239261,-239072,-238909,-238756,-238640,-238554,-238488,-238435,-238410,-238415,-238416,-238461,-238539,-238607,-238715,-238814,-238948,-239090,-239239,-239405,-239576,-239800,-239991,-240229
-1198,-309720,-999999,-293687,-286382,-279556,-273288,-267526,-262258,-257493,-253265,-249553,-246370,-243763,-241640,-240023,-238953,-238395,-238354,-238823,-239788,-241266,-243255,-999999,-248665,-252068,-255930,-260241,-265005,-270071,-275622,-281517,-287795,-294337
-699,-243073,-242205,-241410,-240663,-999999,-239357,-238783,-238280,-237842,-237458,-237120,-236849,-236624,-236437,-236295,-236212,-236173,-236170,-236209,-236298,-236441,-236610,-236845,-237100,-237400,-237726,-238105,-238515,-238959,-239452,-239972,-240510,-241082
-2091,-432675,-412820,-393269,-374453,-356577,-339395,-323100,-307887,-293919,-281269,-270069,-260466,-252370,-245886,-241017,-237783,-236163,-236165,-237767,-240932,-245729,-252060,-259885,-269174,-279829,-291761,-304832,-318812,-333925,-349965,-366594,-384201,-999999
-545,-239054,-238580,-238137,-237722,-237367,-237015,-236706,-236422,-236175,-235944,-235751,-235559,-235412,-235280,-235177,-235099,-235037,-234993,-234966,-234989,-235028,-235070,-235142,-235237,-235351,-235491,-235606,-235770,-235954,-236185,-236353,-236600,-236825
-2699,-504287,-489850,-469713,-446429,-422639,-398701,-374934,-351965,-329896,-309424,-290993,-274873,-261166,-250313,-242346,-237232,-234997,-235618,-239028,-245063,-253795,-265053,-278688,-294430,-312068,-331344,-352004,-373636,-396252,-419649,-443674,-467434,-487893
-2322,-338190,-325932,-314598,-304084,-294406,-285713,-277661,-270387,-263895,-258152,-253217,-248999,-245522,-242770,-240711,-239400,-238817,-238938,-239755,-241275,-243498,-246326,-249878,-254110,-259027,-264593,-999999,-277672,-285152,-293191,-301703,-310815,-320462
-2733,-504846,-492953,-475892,-455511,-432942,-408860,-383805,-359008,-335395,-313728,-294506,-277991,-264529,-253718,-245879,-240893,-238782,-239490,-242981,-249183,-258181,-269890,-999999,-300727,-319511,-340069,-361912,-384864,-408079,-431838,-455487,-477891,-495471
-2357,-342144,-328894,-316571,-305160,-294628,-285022,-276337,-268582,-261632,-255498,-250198,-245674,-241936,-238979,-236781,-235292,-234555,-234550,-235272,-236695,-238828,-241669,-245249,-249520,-254513,-260205,-266556,-273559,-281237,-289530,-298250,-307737,-317781
-2137,-446090,-999999,-406682,-386856,-367297,-348412,-330304,-313593,-297953,-283895,-271461,-260781,-251909,-244837,-239567,-236129,-234450,-234511,-236276,-239756,-244909,-251698,-260106,-269949,-281363,-294112,-308137,-323274,-339332,-356190,-373638,-391819,-410543
-2316,-329493,-317515,-306390,-296089,-286773,-278107,-270262,-263198,-256927,-251491,-246803,-999999,-239657,-237198,-235507,-234557,-234331,-234838,-236053,-237988,-240587,-243883,-247879,-252552,-257901,-263924,-270591,-277916,-285717,-294071,-303012,-312464,-322431
-1279,-316302,-306736,-297663,-289225,-281274,-273947,-267219,-261128,-255607,-250710,-246455,-999999,-239852,-237527,-235829,-234768,-234333,-234504,-235291,-236688,-238706,-999999,-244464,-248201,-252482,-257242,-262524,-268320,-274612,-281362,-288576,-296176,-304076
-2378,-338064,-325044,-312916,-301905,-291643,-282272,-273793,-266192,-259441,-999999,-248517,-244336,-240983,-238398,-236587,-235546,-235253,-235678,-236845,-238723,-241346,-244649,-248660,-253358,-258773,-264870,-271630,-279113,-287337,-296120,-305552,-315614,-326208
1145,-307862,-299707,-292099,-284745,-277828,-271370,-265399,-259899,-254971,-250568,-246671,-243312,-240515,-238289,-236655,-235649,-235267,-235463,-236272,-237730,-239833,-242570,-245966,-250012,-254716,-260056,-266020,-272546,-279712,-287499,-295816,-304771,-314295
-2301,-331376,-319240,-307960,-297481,-287942,-279087,-271024,-263794,-257233,-251459,-246469,-242228,-238748,-235993,-233946,-232625,-232035,-232117,-232907,-234370,-236516,-239356,-242863,-247022,-251795,-257172,-263196,-269840,-277062,-284896,-293294,-302253,-311632
2003,-416598,-398066,-379493,-361500,-344112,-327448,-311706,-297033,-283696,-271671,-261124,-252137,-244849,-239096,-235012,-232633,-231988,-233081,-235926,-240554,-247037,-255376,-265611,-277667,-291489,-306991,-324022,-342432,-361481,-381619,-402196,-422909,-443351
-2313,-325183,-313843,-303348,-293787,-284875,-276713,-269303,-262650,-256736,-251536,-247075,-243266,-240169,-237771,-236071,-235062,-234758,-235122,-236157,-237843,-240219,-243261,-246958,-251292,-256272,-261924,-268233,-275102,-282544,-290618,-299234,-308524,-318397
2599,-999999,-478544,-457018,-433861,-409804,-385586,-361883,-339625,-318461,-299203,-282191,-267532,-255491,-246155,-239557,-235784,-234783,-236603,-241324,-248997,-259655,-273391,-290168,-309579,-332124,-357147,-383871,-411291,-437570,-460809,-480449,-495619,-506516
2118,-312056,-302260,-293143,-284642,-999999,-269399,-262786,-256798,-251449,-246773,-242767,-239436,-236788,-234781,-233501,-232912,-232983,-233748,-235202,-237379,-240260,-243862,-248178,-253183,-258893,-999999,-272590,-280567,-289284,-298734,-308995,-319860,-331610
-2797,-510225,-499067,-483113,-462566,-439127,-414352,-388716,-363143,-338596,-315773,-295230,-277475,-262736,-250739,-241783,-235844,-232888,-232919,-235801,-241596,-250126,-261332,-275121,-291289,-309558,-329759,-351496,-374326,-397887,-422380,-447219,-470991,-491341
