cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101
RECAL 3 0 9999 9999 64 4 80,2122,-337202,-324962,-313595,-303032,-293311,-284410,-276174,-268682,-261985,-256043,-250880,-246471,-242819,-239893,-237750,-236330,-235671,-235759,-236629,-238253,-240655,-243840,-247788,-252478,-257955,-264258,-271346,-279280,-288044,-297596,-307928,-319285,-331553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2187 64 4 80,-2727,-510754,-502117,-487553,-466554,-438539,-406740,-374288,-343939,-316787,-293330,-273968,-258186,-246262,-238106,-233647,-232808,-235515,-241714,-251297,-264405,-280777,-300098,-322231,-346614,-372668,-399947,-427217,-454537,-480251,-499529,-510891,-514976,-518180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2080,-325338,-313510,-302460,-292264,-282815,-274139,-266242,-259062,-252747,-247096,-242156,-237952,-234472,-231712,-229699,-228399,-227845,-228046,-228992,-230704,-233190,-236463,-240522,-245377,-250947,-257426,-264772,-272940,-281970,-291868,-302638,-314333,-326967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2145 64 4 80,-2125,-459255,-437486,-414493,-390906,-367703,-345049,-323641,-303949,-286331,-270885,-257707,-246911,-238498,-232442,-228646,-227113,-227799,-230687,-235772,-243027,-252236,-263619,-276932,-292086,-308867,-327094,-346528,-366812,-388059,-409746,-431574,-453111,-474011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2121,-337023,-324339,-312481,-301402,-291204,-281735,-273052,-265077,-257909,-251550,-245984,-241218,-237221,-234026,-231645,-230031,-229177,-229142,-229896,-231466,-233843,-237059,-241080,-245879,-251482,-257952,-265286,-273440,-282480,-292390,-303023,-314729,-327303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2187 64 4 80,-1254,-321331,-309915,-299057,-288909,-279464,-270792,-262911,-255858,-249634,-244220,-239694,-235909,-232935,-230778,-229413,-228832,-229034,-230006,-231714,-234161,-237319,-241205,-245795,-251055,-257007,-263638,-270786,-278661,-287127,-296080,-305574,-315556,-325935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2054,-327538,-315733,-304710,-294493,-285087,-276440,-268545,-261435,-255129,-249554,-244681,-240536,-237101,-234375,-232367,-231100,-230510,-230622,-231467,-233017,-235322,-238354,-242143,-246716,-252093,-258263,-265253,-273035,-281659,-291133,-301417,-312483,-324591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2119 64 4 80,1172,-332828,-321768,-311180,-301089,-291443,-282383,-273945,-266190,-259126,-252806,-247258,-242537,-238494,-235264,-232830,-231219,-230441,-230487,-231391,-233136,-235712,-239146,-243431,-248579,-254597,-261512,-269307,-277844,-287340,-297597,-308730,-320611,-333164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2137,-339994,-327142,-315168,-303936,-293604,-284138,-275450,-267578,-260499,-254195,-248754,-243994,-239978,-236748,-234277,-232578,-231638,-231472,-232083,-233446,-235576,-238479,-242149,-246613,-251850,-257915,-264716,-272404,-280958,-290415,-300700,-312007,-324246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2204 64 4 80,2021,-482084,-463132,-442246,-420318,-397996,-375868,-354597,-334514,-315491,-298054,-282441,-268700,-256953,-247353,-239852,-234519,-231392,-230575,-232112,-236035,-242412,-251235,-262539,-276119,-292318,-310901,-331736,-354488,-378683,-403730,-428487,-451749,-472979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
