path,cmd,attempt,peak_ok,code,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 64 4 80,1,0,ParabolaNotDownward,2295,-236944,-236948,-236952,-236937,-236943,-236946,-236942,-236973,-236961,-236959,-236977,-236969,-236953,-236943,-236955,-236956,-236959,-236948,-236950,-236955,-236950,-236952,-236942,-236963,-236961,-236969,-236956,-236948,-236962,-236970,-236967,-236969,-236958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 9999 200 4 80,2,1,Ok,2159,-496137,-496059,-496222,-496228,-496262,-496153,-496236,-496103,-496097,-496022,-495820,-495803,-495904,-495359,-495095,-494724,-494034,-493812,-492939,-491314,-490478,-487602,-484572,-480023,-473063,-463656,-451784,-438947,-425490,-412136,-398995,-386278,-374012,-362329,-351349,-340826,-331036,-321896,-313396,-305444,-298203,-291547,-285445,-280078,-275362,-271235,-267795,-265015,-262925,-261531,-260835,-260866,-261602,-263084,-265280,-268238,-271934,-276461,-281725,-287788,-294793,-302396,-310813,-320106,-330270,-341300,-353254,-366163,-380074,-394839,-410696,-427213,-444084,-460517,-474394,-483393,-489041,-491926,-493781,-494554,-495297,-495236,-495260,-495293,-495848,-495847,-495761,-495859,-496069,-496170,-495680,-495837,-496404,-495867,-495866,-495846,-496474,-496273,-495904,-495717,-496104,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 0 9999 2361 64 4 80,3,1,Ok,2297,-345584,-335564,-326114,-317285,-309030,-301454,-294515,-288115,-282418,-277412,-272987,-269207,-266078,-263653,-261939,-260895,-260561,-260948,-262063,-263888,-266479,-269810,-273932,-278859,-284474,-291066,-298360,-306363,-315247,-324935,-335539,-347032,-359452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/576|RECAL 1 3 1 1 1 33|tgt=3 c1=1 c2=1 c3=1 c4=33,RECAL 3 1 9999 2361 64 4 80,1,1,Ok,-2864,-488880,-481369,-466764,-443118,-415742,-387279,-360471,-336197,-314768,-296431,-281117,-269239,-260693,-255527,-253752,-255378,-260518,-269124,-281291,-297140,-316594,-339140,-365152,-394003,-424482,-453791,-476199,-486969,-492016,-494050,-495269,-496084,-496103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2277,-332598,-322273,-312569,-303453,-295034,-287050,-279796,-273218,-267219,-261870,-257112,-253065,-249661,-246879,-244857,-243452,-242790,-242829,-243569,-245093,-247358,-250394,-254158,-258704,-264079,-270265,-277298,-285125,-293925,-303527,-314052,-325409,-337609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=2/576|RECAL 1 3 1 2 2 33|tgt=3 c1=1 c2=2 c3=2 c4=33,RECAL 3 1 9999 2343 64 4 80,1,1,Ok,-2242,-452780,-432180,-409638,-387090,-365220,-344573,-325525,-308260,-292895,-279285,-267682,-258195,-250857,-245594,-242493,-241519,-242686,-245963,-251508,-259216,-269067,-281094,-295452,-311857,-330443,-351051,-373062,-396696,-420876,-444520,-465016,-479038,-486893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2340,-341979,-330471,-319424,-309072,-299409,-290398,-281931,-274346,-267357,-261074,-255469,-250631,-246459,-243058,-240405,-238467,-237302,-236875,-237225,-238343,-240243,-242913,-246379,-250638,-255720,-261691,-268505,-276209,-284761,-294341,-304733,-316132,-328685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=3/576|RECAL 1 3 1 3 3 33|tgt=3 c1=1 c2=3 c3=3 c4=33,RECAL 3 1 9999 2408 64 4 80,1,1,Ok,-1345,-319793,-309120,-299047,-289703,-280997,-273145,-266055,-259726,-254145,-249318,-245214,-241909,-239353,-237586,-236569,-236335,-236843,-238118,-240131,-242923,-246419,-250677,-255635,-261370,-267818,-274924,-282638,-291219,-300379,-310126,-320584,-331641,-343252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 0 9999 9999 64 4 80,1,1,Ok,2325,-337914,-326638,-316006,-305882,-296435,-287517,-279380,-271899,-265112,-259008,-253604,-248978,-245006,-241766,-239235,-237439,-236372,-236095,-236560,-237837,-239822,-242614,-246185,-250543,-255674,-261680,-268492,-276108,-284635,-294153,-304459,-315746,-327943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=4/576|RECAL 1 3 1 4 4 33|tgt=3 c1=1 c2=4 c3=4 c4=33,RECAL 3 1 9999 2393 64 4 80,1,1,Ok,1204,-329006,-318580,-308638,-299445,-290693,-282427,-274978,-268122,-261898,-256278,-251380,-247085,-243447,-240564,-238340,-236852,-236069,-236034,-236746,-238196,-240414,-243404,-247189,-251765,-257076,-263251,-270169,-277958,-286357,-295685,-305604,-316370,-327782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
