Channel,s1_pre_pd_sw312,s1_pre_pd_sw311,s1_pre_opm_sw1119,s1_pre_opm_sw1120,s1_pre_opm_sw1251,s1_pre_opm_sw1252,s1_pd_reply,s1_opm_reply,s2_pre_pd_sw312,s2_pre_pd_sw311,s2_pre_opm_sw1119,s2_pre_opm_sw1120,s2_pre_opm_sw1251,s2_pre_opm_sw1252,s2_pd_reply,s2_opm_reply,s3_pre_pd_sw312,s3_pre_pd_sw311,s3_pre_opm_sw1119,s3_pre_opm_sw1120,s3_pre_opm_sw1251,s3_pre_opm_sw1252,s3_pd_reply,s3_opm_reply
CH343,-6000,-1126,-759492,-101783,-791267,-101772,-1126,-101762,-6000,-1205,-790078,-130639,-999900,-130624,-1205,-130605,-6000,-2493,-999900,-237030,-999900,-237020,-2494,-237034
CH378,-6000,-1126,-714350,-101904,-999900,-101915,-1126,-101906,-6000,-1205,-767993,-148050,-999900,-148054,-1205,-148042,-6000,-2494,-999900,-236677,-999900,-236697,-2494,-236683
CH499,-6000,-1126,-751958,-100846,-779927,-100834,-1126,-100831,-6000,-1204,-792996,-140285,-999900,-140276,-1204,-140266,-6000,-2493,-999900,-235606,-999900,-235604,-2493,-235612
CH211,-6000,-1126,-768523,-99212,-999900,-99190,-1126,-99167,-6000,-1204,-791869,-139271,-999900,-139250,-1204,-139242,-6000,-2494,-999900,-231448,-999900,-231424,-2494,-231441
CH163,-6000,-1126,-999900,-102042,-697168,-102037,-1126,-102026,-6000,-1204,-999900,-130442,-744999,-130416,-1204,-130392,-6000,-2494,-999900,-236516,-999900,-236528,-2494,-236534
CH265,-6000,-1126,-999900,-106552,-999900,-106517,-1126,-106485,-6000,-1205,-999900,-136795,-999900,-136716,-1204,-136703,-6000,-2494,-999900,-240046,-999900,-240064,-2494,-240062
CH168,-6000,-1126,-999900,-103457,-697987,-103479,-1126,-103478,-6000,-1204,-999900,-140106,-746008,-140098,-1205,-140063,-6000,-2493,-999900,-237841,-999900,-237837,-2494,-237857
CH271,-6000,-1126,-784526,-103946,-999900,-103928,-1126,-103914,-6000,-1205,-999900,-133189,-999900,-133187,-1205,-133180,-6000,-2493,-999900,-237810,-999900,-237825,-2493,-237813
CH355,-6000,-1126,-758176,-100425,-781895,-100423,-1127,-100420,-6000,-1205,-796256,-138694,-999900,-138661,-1205,-138631,-6000,-2493,-999900,-235615,-999900,-235621,-2494,-235616
CH366,-6000,-1127,-716161,-101338,-999900,-101338,-1126,-101336,-6000,-1205,-761724,-139627,-999900,-139623,-1205,-139587,-6000,-2494,-999900,-236250,-999900,-236246,-2494,-236231
CH354,-6000,-1126,-766105,-101585,-798283,-101579,-1127,-101579,-6000,-1205,-999900,-134764,-999900,-134746,-1205,-134749,-6000,-2493,-999900,-236863,-999900,-236851,-2494,-236861
CH343,-6000,-1126,-761005,-101736,-794882,-101726,-1127,-101725,-6000,-1205,-794342,-130250,-999900,-130244,-1205,-130228,-6000,-2493,-999900,-237006,-999900,-237000,-2494,-237025
CH378,-6000,-1126,-715716,-101832,-999900,-101835,-1127,-101844,-6000,-1205,-772626,-147852,-999900,-147852,-1205,-147841,-6000,-2493,-999900,-236625,-999900,-236616,-2494,-236636
CH499,-6000,-1126,-754816,-100814,-787826,-100812,-1127,-100814,-6000,-1205,-792189,-140235,-949797,-140209,-1205,-140201,-6000,-2494,-999900,-235587,-999900,-235589,-2494,-235596
CH211,-6000,-1127,-768984,-99235,-999900,-99241,-1126,-99213,-6000,-1204,-789902,-139381,-999900,-139378,-1205,-139354,-6000,-2494,-999900,-231427,-999900,-231428,-2493,-231391
CH163,-6000,-1127,-999900,-102090,-701856,-102093,-1127,-102095,-6000,-1205,-999900,-130553,-748094,-130552,-1205,-130507,-6000,-2493,-999900,-236466,-999900,-236482,-2493,-236470
CH265,-6000,-1126,-999900,-106520,-999900,-106488,-1127,-106454,-6000,-1205,-999900,-136711,-999900,-136640,-1204,-136609,-6000,-2493,-999900,-240036,-999900,-240030,-2493,-240014
CH168,-6000,-1127,-999900,-103511,-693229,-103514,-1127,-103512,-6000,-1205,-999900,-140302,-745600,-140264,-1205,-140230,-6000,-2493,-999900,-237823,-999900,-237809,-2493,-237816
CH271,-6000,-1127,-782883,-103932,-999900,-103932,-1126,-103911,-6000,-1205,-999900,-133109,-999900,-133105,-1205,-133091,-6000,-2494,-999900,-237780,-999900,-237787,-2492,-237761
CH355,-6000,-1127,-769084,-100431,-999900,-100422,-1127,-100426,-6000,-1205,-794062,-138685,-999900,-138660,-1205,-138641,-6000,-2493,-999900,-235586,-999900,-235579,-2493,-235578
CH366,-6000,-1127,-715519,-101343,-999900,-101359,-1127,-101344,-6000,-1204,-761686,-139518,-999900,-139517,-1204,-139487,-6000,-2493,-999900,-236211,-999900,-236201,-2494,-236228
CH354,-6000,-1127,-757655,-101636,-797575,-101614,-1127,-101610,-6000,-1204,-999900,-134641,-999900,-134632,-1204,-134629,-6000,-2492,-999900,-236813,-999900,-236825,-2494,-236832
CH343,-6000,-1127,-769840,-101759,-999900,-101761,-1127,-101768,-6000,-1204,-790729,-130100,-999900,-130089,-1204,-130074,-6000,-2493,-999900,-236965,-999900,-236962,-2493,-236963
CH378,-6000,-1127,-713053,-101866,-999900,-101869,-1127,-101876,-6000,-1205,-768822,-147687,-999900,-147663,-1204,-147666,-6000,-2493,-999900,-236595,-999900,-236585,-2493,-236582
CH499,-6000,-1127,-739710,-100874,-999900,-100844,-1127,-100850,-6000,-1204,-798454,-140121,-999900,-140132,-1204,-140108,-6000,-2493,-999900,-235524,-999900,-235538,-2493,-235536
CH211,-6000,-1127,-775953,-99298,-999900,-99285,-1127,-99269,-6000,-1204,-790921,-139344,-999900,-139344,-1205,-139337,-6000,-2493,-999900,-231384,-999900,-231387,-2494,-231387
CH163,-6000,-1127,-999900,-102156,-697548,-102153,-1127,-102145,-6000,-1204,-999900,-130556,-746847,-130545,-1204,-130511,-6000,-2493,-999900,-236477,-999900,-236466,-2493,-236461
CH265,-6000,-1127,-999900,-106537,-999900,-106484,-1127,-106478,-6000,-1204,-999900,-136659,-999900,-136573,-1204,-136557,-6000,-2494,-999900,-240020,-999900,-240012,-2493,-240012
CH168,-6000,-1127,-999900,-103548,-695726,-103549,-1127,-103552,-6000,-1204,-999900,-140311,-747686,-140286,-1204,-140268,-6000,-2493,-999900,-237798,-999900,-237800,-2493,-237802
CH271,-6000,-1127,-785723,-103944,-999900,-103932,-1126,-103918,-6000,-1204,-999900,-133043,-999900,-133048,-1205,-133048,-6000,-2493,-999900,-237767,-999900,-237774,-2493,-237756
CH355,-6000,-1126,-757302,-100420,-792208,-100408,-1126,-100417,-6000,-1205,-999900,-138654,-999900,-138623,-1204,-138602,-6000,-2493,-999900,-235562,-999900,-235585,-2493,-235586
CH366,-6000,-1126,-715804,-101308,-999900,-101295,-1126,-101317,-6000,-1205,-765296,-139497,-999900,-139500,-1205,-139480,-6000,-2493,-866598,-236197,-999900,-236198,-2493,-236205
CH354,-6000,-1126,-766138,-101574,-999900,-101547,-1126,-101552,-6000,-1205,-791686,-134676,-999900,-134663,-1205,-134669,-6000,-2492,-999900,-236832,-999900,-236842,-2493,-236835
CH343,-6000,-1126,-756046,-101707,-790943,-101704,-1126,-101700,-6000,-1205,-790098,-130182,-999900,-130177,-1205,-130163,-6000,-2493,-999900,-236971,-999900,-236991,-2493,-236972
CH378,-6000,-1126,-715499,-101799,-999900,-101799,-1126,-101799,-6000,-1205,-768776,-147786,-999900,-147800,-1205,-147790,-6000,-2493,-999900,-236606,-999900,-236618,-2494,-236614
CH499,-6000,-1126,-738344,-100811,-999900,-100810,-1126,-100796,-6000,-1205,-788182,-140215,-999900,-140218,-1205,-140200,-6000,-2492,-999900,-235543,-999900,-235539,-2492,-235543
CH211,-6000,-1126,-779916,-99264,-999900,-99236,-1126,-99218,-6000,-1205,-788847,-139521,-999900,-139517,-1205,-139499,-6000,-2492,-999900,-231409,-999900,-231397,-2494,-231413
CH163,-6000,-1126,-999900,-102121,-695706,-102100,-1126,-102100,-6000,-1205,-999900,-130747,-747499,-130721,-1205,-130709,-6000,-2492,-999900,-236489,-999900,-236490,-2493,-236472
CH265,-6000,-1126,-999900,-106466,-999900,-106417,-1126,-106392,-6000,-1205,-999900,-136751,-999900,-136672,-1205,-136656,-6000,-2492,-999900,-240018,-999900,-239986,-2493,-240000
CH168,-6000,-1126,-999900,-103471,-695329,-103480,-1126,-103482,-6000,-1205,-999900,-140564,-747131,-140545,-1205,-140522,-6000,-2493,-999900,-237765,-999900,-237792,-2493,-237796
CH271,-6000,-1126,-780177,-103861,-999900,-103848,-1126,-103833,-6000,-1205,-999900,-133240,-999900,-133245,-1205,-133242,-6000,-2492,-999900,-237778,-999900,-237760,-2492,-237753
CH355,-6000,-1126,-766441,-100377,-797534,-100373,-1126,-100370,-6000,-1205,-999900,-138685,-999900,-138649,-1206,-138644,-6000,-2493,-999900,-235612,-999900,-235603,-2493,-235605
CH366,-6000,-1126,-712719,-101274,-999900,-101260,-1126,-101256,-6000,-1205,-765110,-139589,-999900,-139606,-1206,-139592,-6000,-2492,-999900,-236179,-999900,-236178,-2493,-236201
CH354,-6000,-1125,-754260,-101535,-786147,-101520,-1126,-101526,-6000,-1205,-789588,-134785,-999900,-134764,-1206,-134766,-6000,-2493,-999900,-236826,-999900,-236819,-2492,-236819
CH343,-6000,-1126,-757011,-101677,-782682,-101683,-1126,-101679,-6000,-1205,-786429,-130326,-999900,-130335,-1206,-130335,-6000,-2493,-999900,-236969,-999900,-236984,-2493,-236977
CH378,-6000,-1126,-713098,-101748,-999900,-101754,-1126,-101753,-6000,-1206,-769924,-147957,-999900,-147953,-1206,-147950,-6000,-2493,-999900,-236605,-999900,-236604,-2493,-236598
CH499,-6000,-1126,-752929,-100755,-785020,-100747,-1126,-100731,-6000,-1206,-796176,-140363,-999900,-140356,-1206,-140347,-6000,-2493,-999900,-235565,-999900,-235545,-2494,-235567
CH211,-6000,-1126,-777217,-99229,-999900,-99204,-1126,-99197,-6000,-1206,-791584,-139753,-999900,-139752,-1207,-139746,-6000,-2494,-999900,-231403,-999900,-231419,-2493,-231405
