SN,MCS1,1X64,1X18,MCS2,1X64_2,1X18_2,入光通道名,出光通道名,MAX-MIN_1310,MAX-MIN_1550,MAX-MIN_diff_1310_minus_1550,match
K7276529,1,1,1,33,33,1,MPO1-1,MPO49-1,0.0251,0.0977,-0.0726,both
K7276529,1,1,2,33,33,2,MPO1-2,MPO49-2,0.0289,0.0585,-0.0296,both
K7276529,1,1,3,33,33,3,MPO1-3,MPO49-3,0.0284,0.0364,-0.008,both
K7276529,1,1,4,33,33,4,MPO1-4,MPO49-4,0.0249,0.02,0.0049,both
K7276529,1,1,5,33,33,5,MPO1-5,MPO49-5,0.0409,0.0475,-0.0066,both
K7276529,1,1,6,33,33,6,MPO1-6,MPO49-6,0.0435,0.0766,-0.0331,both
K7276529,1,1,7,33,33,7,MPO1-7,MPO49-7,0.0608,0.1014,-0.0406,both
K7276529,1,1,8,33,33,8,MPO1-8,MPO49-8,0.049,0.0456,0.0034,both
K7276529,1,1,9,33,33,9,MPO1-9,MPO49-9,0.039,0.0166,0.0224,both
K7276529,1,1,10,33,33,10,MPO1-10,MPO49-10,0.0303,0.0137,0.0166,both
K7276529,1,1,11,33,33,11,MPO1-11,MPO49-11,0.0266,0.0331,-0.0065,both
K7276529,1,1,12,33,33,12,MPO1-12,MPO49-12,0.025,0.0674,-0.0424,both
K7276529,1,1,13,33,33,13,MPO2-1,MPO50-1,0.0188,0.0783,-0.0595,both
K7276529,1,1,14,33,33,14,MPO2-2,MPO50-2,0.025,0.044,-0.019,both
K7276529,1,1,15,33,33,15,MPO2-3,MPO50-3,0.0324,0.0313,0.0011,both
K7276529,1,1,16,33,33,16,MPO2-4,MPO50-4,0.0364,0.0313,0.0051,both
K7276529,1,1,17,33,33,17,MPO2-5,MPO50-5,0.0423,0.0414,0.0009,both
K7276529,1,1,18,33,33,18,MPO2-6,MPO50-6,0.0692,0.0731,-0.0039,both
K7276529,2,2,1,34,34,1,MPO2-7,MPO50-7,0.0382,0.1983,-0.1601,both
K7276529,2,2,2,34,34,2,MPO2-8,MPO50-8,0.0279,0.1115,-0.0836,both
K7276529,2,2,3,34,34,3,MPO2-9,MPO50-9,0.0367,0.0524,-0.0157,both
K7276529,2,2,4,34,34,4,MPO2-10,MPO50-10,0.0506,0.0428,0.0078,both
K7276529,2,2,5,34,34,5,MPO2-11,MPO50-11,0.0654,0.0909,-0.0255,both
K7276529,2,2,6,34,34,6,MPO2-12,MPO50-12,0.0691,0.1082,-0.0391,both
K7276529,2,2,7,34,34,7,MPO3-1,MPO51-1,0.081,0.0939,-0.0129,both
K7276529,2,2,8,34,34,8,MPO3-2,MPO51-2,0.0432,0.0437,-0.0005,both
K7276529,2,2,9,34,34,9,MPO3-3,MPO51-3,0.0481,0.0203,0.0278,both
K7276529,2,2,10,34,34,10,MPO3-4,MPO51-4,0.0402,0.0421,-0.0019,both
K7276529,2,2,11,34,34,11,MPO3-5,MPO51-5,0.0307,0.0972,-0.0665,both
K7276529,2,2,12,34,34,12,MPO3-6,MPO51-6,0.0213,0.1415,-0.1202,both
K7276529,2,2,13,34,34,13,MPO3-7,MPO51-7,0.0453,0.1501,-0.1048,both
K7276529,2,2,14,34,34,14,MPO3-8,MPO51-8,0.0406,0.1051,-0.0645,both
K7276529,2,2,15,34,34,15,MPO3-9,MPO51-9,0.0496,0.053,-0.0034,both
K7276529,2,2,16,34,34,16,MPO3-10,MPO51-10,0.0517,0.0275,0.0242,both
K7276529,2,2,17,34,34,17,MPO3-11,MPO51-11,0.0602,0.0948,-0.0346,both
K7276529,2,2,18,34,34,18,MPO3-12,MPO51-12,0.0564,0.0802,-0.0238,both
K7276529,3,3,1,35,35,1,MPO4-1,MPO52-1,0.0523,0.0864,-0.0341,both
K7276529,3,3,2,35,35,2,MPO4-2,MPO52-2,0.0456,0.0299,0.0157,both
K7276529,3,3,3,35,35,3,MPO4-3,MPO52-3,0.0388,0.0598,-0.021,both
K7276529,3,3,4,35,35,4,MPO4-4,MPO52-4,0.0529,0.0449,0.008,both
K7276529,3,3,5,35,35,5,MPO4-5,MPO52-5,0.0446,0.1115,-0.0669,both
K7276529,3,3,6,35,35,6,MPO4-6,MPO52-6,0.0797,0.154,-0.0743,both
K7276529,3,3,7,35,35,7,MPO4-7,MPO52-7,0.0473,0.1373,-0.09,both
K7276529,3,3,8,35,35,8,MPO4-8,MPO52-8,0.0689,0.092,-0.0231,both
K7276529,3,3,9,35,35,9,MPO4-9,MPO52-9,0.0551,0.037,0.0181,both
K7276529,3,3,10,35,35,10,MPO4-10,MPO52-10,0.0458,0.0198,0.026,both
K7276529,3,3,11,35,35,11,MPO4-11,MPO52-11,0.0471,0.0333,0.0138,both
K7276529,3,3,12,35,35,12,MPO4-12,MPO52-12,0.0521,0.0598,-0.0077,both
K7276529,3,3,13,35,35,13,MPO5-1,MPO53-1,0.0564,0.0547,0.0017,both
K7276529,3,3,14,35,35,14,MPO5-2,MPO53-2,0.0513,0.032,0.0193,both
K7276529,3,3,15,35,35,15,MPO5-3,MPO53-3,0.0471,0.0143,0.0328,both
K7276529,3,3,16,35,35,16,MPO5-4,MPO53-4,0.0572,0.0424,0.0148,both
K7276529,3,3,17,35,35,17,MPO5-5,MPO53-5,0.0845,0.0908,-0.0063,both
K7276529,3,3,18,35,35,18,MPO5-6,MPO53-6,0.071,0.1382,-0.0672,both
K7276529,4,4,1,36,36,1,MPO5-7,MPO53-7,0.0504,0.1433,-0.0929,both
K7276529,4,4,2,36,36,2,MPO5-8,MPO53-8,0.0318,0.0753,-0.0435,both
K7276529,4,4,3,36,36,3,MPO5-9,MPO53-9,0.0483,0.0491,-0.0008,both
K7276529,4,4,4,36,36,4,MPO5-10,MPO53-10,0.0473,0.0866,-0.0393,both
K7276529,4,4,5,36,36,5,MPO5-11,MPO53-11,0.0682,0.1544,-0.0862,both
K7276529,4,4,6,36,36,6,MPO5-12,MPO53-12,0.0548,0.1754,-0.1206,both
K7276529,4,4,7,36,36,7,MPO6-1,MPO54-1,0.7323,0.1646,0.5677,both
K7276529,4,4,8,36,36,8,MPO6-2,MPO54-2,0.064,0.1019,-0.0379,both
K7276529,4,4,9,36,36,9,MPO6-3,MPO54-3,0.0536,0.0521,0.0015,both
K7276529,4,4,10,36,36,10,MPO6-4,MPO54-4,0.034,0.0343,-0.0003,both
K7276529,4,4,11,36,36,11,MPO6-5,MPO54-5,0.0327,0.0651,-0.0324,both
K7276529,4,4,12,36,36,12,MPO6-6,MPO54-6,0.0592,0.1423,-0.0831,both
K7276529,4,4,13,36,36,13,MPO6-7,MPO54-7,0.0552,0.1316,-0.0764,both
K7276529,4,4,14,36,36,14,MPO6-8,MPO54-8,0.0416,0.0424,-0.0008,both
K7276529,4,4,15,36,36,15,MPO6-9,MPO54-9,0.0602,0.0425,0.0177,both
K7276529,4,4,16,36,36,16,MPO6-10,MPO54-10,0.0646,0.0729,-0.0083,both
K7276529,4,4,17,36,36,17,MPO6-11,MPO54-11,0.0895,0.1168,-0.0273,both
K7276529,4,4,18,36,36,18,MPO6-12,MPO54-12,0.0766,0.1818,-0.1052,both
K7276529,5,5,1,37,37,1,MPO7-1,MPO55-1,0.0271,0.1067,-0.0796,both
K7276529,5,5,2,37,37,2,MPO7-2,MPO55-2,0.0464,0.0849,-0.0385,both
K7276529,5,5,3,37,37,3,MPO7-3,MPO55-3,0.0185,0.0537,-0.0352,both
K7276529,5,5,4,37,37,4,MPO7-4,MPO55-4,0.0297,0.0203,0.0094,both
K7276529,5,5,5,37,37,5,MPO7-5,MPO55-5,0.0341,0.0502,-0.0161,both
K7276529,5,5,6,37,37,6,MPO7-6,MPO55-6,0.0408,0.0702,-0.0294,both
K7276529,5,5,7,37,37,7,MPO7-7,MPO55-7,0.0187,0.0721,-0.0534,both
K7276529,5,5,8,37,37,8,MPO7-8,MPO55-8,0.0214,0.0352,-0.0138,both
K7276529,5,5,9,37,37,9,MPO7-9,MPO55-9,0.0225,0.0234,-0.0009,both
K7276529,5,5,10,37,37,10,MPO7-10,MPO55-10,0.0408,0.0328,0.008,both
K7276529,5,5,11,37,37,11,MPO7-11,MPO55-11,0.0185,0.0722,-0.0537,both
K7276529,5,5,12,37,37,12,MPO7-12,MPO55-12,0.0343,0.1123,-0.078,both
K7276529,5,5,13,37,37,13,MPO8-1,MPO56-1,0.2707,0.1596,0.1111,both
K7276529,5,5,14,37,37,14,MPO8-2,MPO56-2,0.0562,0.1619,-0.1057,both
K7276529,5,5,15,37,37,15,MPO8-3,MPO56-3,0.1696,0.1762,-0.0066,both
K7276529,5,5,16,37,37,16,MPO8-4,MPO56-4,0.2545,0.1785,0.076,both
K7276529,5,5,17,37,37,17,MPO8-5,MPO56-5,0.0461,0.0791,-0.033,both
K7276529,5,5,18,37,37,18,MPO8-6,MPO56-6,0.2094,0.1054,0.104,both
K7276529,6,6,1,38,38,1,MPO8-7,MPO56-7,0.0688,0.2172,-0.1484,both
K7276529,6,6,2,38,38,2,MPO8-8,MPO56-8,0.2404,0.2293,0.0111,both
K7276529,6,6,3,38,38,3,MPO8-9,MPO56-9,0.0422,0.1018,-0.0596,both
K7276529,6,6,4,38,38,4,MPO8-10,MPO56-10,0.1197,0.0662,0.0535,both
K7276529,6,6,5,38,38,5,MPO8-11,MPO56-11,0.0257,0.0724,-0.0467,both
K7276529,6,6,6,38,38,6,MPO8-12,MPO56-12,0.1885,0.1815,0.007,both
K7276529,6,6,7,38,38,7,MPO9-1,MPO57-1,0.0742,0.1366,-0.0624,both
K7276529,6,6,8,38,38,8,MPO9-2,MPO57-2,0.0828,0.1055,-0.0227,both
K7276529,6,6,9,38,38,9,MPO9-3,MPO57-3,0.0568,0.0412,0.0156,both
K7276529,6,6,10,38,38,10,MPO9-4,MPO57-4,0.056,0.0401,0.0159,both
K7276529,6,6,11,38,38,11,MPO9-5,MPO57-5,0.0559,0.0976,-0.0417,both
K7276529,6,6,12,38,38,12,MPO9-6,MPO57-6,0.0411,0.1433,-0.1022,both
K7276529,6,6,13,38,38,13,MPO9-7,MPO57-7,0.0546,0.1106,-0.056,both
K7276529,6,6,14,38,38,14,MPO9-8,MPO57-8,0.0643,0.0563,0.008,both
K7276529,6,6,15,38,38,15,MPO9-9,MPO57-9,0.0562,0.014,0.0422,both
K7276529,6,6,16,38,38,16,MPO9-10,MPO57-10,0.0674,0.0433,0.0241,both
K7276529,6,6,17,38,38,17,MPO9-11,MPO57-11,0.0755,0.091,-0.0155,both
K7276529,6,6,18,38,38,18,MPO9-12,MPO57-12,0.0575,0.1158,-0.0583,both
