序号,MCS1_1x64_c1,1x18_c2_c3,MCS2_1x64_c4,c4校验_c1加32,入光通道,出光通道,MAX-MIN_dB,RunPath_step,RECAL1_1号MCS定标,RECAL1_2号MCS定标,光路
17,28,8,60,60,MPO42-2,MPO90-2,3.5917,494/576,RECAL 1 3 28 8 8 60,RECAL 1 4 28 8 8 60,1#1x64(28)->1#MCS(8)->2#MCS(8)->2#1x64(60)
20,31,11,63,63,MPO46-1,MPO94-1,2.9899,551/576,RECAL 1 3 31 11 11 63,RECAL 1 4 31 11 11 63,1#1x64(31)->1#MCS(11)->2#MCS(11)->2#1x64(63)
10,14,7,46,46,MPO21-1,MPO69-1,2.3530,241/576,RECAL 1 3 14 7 7 46,RECAL 1 4 14 7 7 46,1#1x64(14)->1#MCS(7)->2#MCS(7)->2#1x64(46)
14,25,12,57,57,MPO37-1,MPO85-1,2.2313,444/576,RECAL 1 3 25 12 12 57,RECAL 1 4 25 12 12 57,1#1x64(25)->1#MCS(12)->2#MCS(12)->2#1x64(57)
16,26,8,58,58,MPO39-2,MPO87-2,2.2015,458/576,RECAL 1 3 26 8 8 58,RECAL 1 4 26 8 8 58,1#1x64(26)->1#MCS(8)->2#MCS(8)->2#1x64(58)
19,31,7,63,63,MPO46-7,MPO94-7,1.9543,547/576,RECAL 1 3 31 7 7 63,RECAL 1 4 31 7 7 63,1#1x64(31)->1#MCS(7)->2#MCS(7)->2#1x64(63)
21,32,12,64,64,MPO48-6,MPO96-6,1.6695,570/576,RECAL 1 3 32 12 12 64,RECAL 1 4 32 12 12 64,1#1x64(32)->1#MCS(12)->2#MCS(12)->2#1x64(64)
12,19,8,51,51,MPO28-8,MPO76-8,1.1819,332/576,RECAL 1 3 19 8 8 51,RECAL 1 4 19 8 8 51,1#1x64(19)->1#MCS(8)->2#MCS(8)->2#1x64(51)
18,30,7,62,62,MPO45-1,MPO93-1,1.0814,529/576,RECAL 1 3 30 7 7 62,RECAL 1 4 30 7 7 62,1#1x64(30)->1#MCS(7)->2#MCS(7)->2#1x64(62)
8,11,7,43,43,MPO16-7,MPO64-7,0.9973,187/576,RECAL 1 3 11 7 7 43,RECAL 1 4 11 7 7 43,1#1x64(11)->1#MCS(7)->2#MCS(7)->2#1x64(43)
1,4,7,36,36,MPO6-1,MPO54-1,0.7323,61/576,RECAL 1 3 4 7 7 36,RECAL 1 4 4 7 7 36,1#1x64(4)->1#MCS(7)->2#MCS(7)->2#1x64(36)
9,13,7,45,45,MPO19-7,MPO67-7,0.6051,223/576,RECAL 1 3 13 7 7 45,RECAL 1 4 13 7 7 45,1#1x64(13)->1#MCS(7)->2#MCS(7)->2#1x64(45)
15,26,7,58,58,MPO39-1,MPO87-1,0.5321,457/576,RECAL 1 3 26 7 7 58,RECAL 1 4 26 7 7 58,1#1x64(26)->1#MCS(7)->2#MCS(7)->2#1x64(58)
11,15,7,47,47,MPO22-7,MPO70-7,0.5017,259/576,RECAL 1 3 15 7 7 47,RECAL 1 4 15 7 7 47,1#1x64(15)->1#MCS(7)->2#MCS(7)->2#1x64(47)
13,19,11,51,51,MPO28-1,MPO76-1,0.3002,335/576,RECAL 1 3 19 11 11 51,RECAL 1 4 19 11 11 51,1#1x64(19)->1#MCS(11)->2#MCS(11)->2#1x64(51)
2,5,13,37,37,MPO8-1,MPO56-1,0.2707,85/576,RECAL 1 3 5 13 13 37,RECAL 1 4 5 13 13 37,1#1x64(5)->1#MCS(13)->2#MCS(13)->2#1x64(37)
4,5,16,37,37,MPO8-4,MPO56-4,0.2545,88/576,RECAL 1 3 5 16 16 37,RECAL 1 4 5 16 16 37,1#1x64(5)->1#MCS(16)->2#MCS(16)->2#1x64(37)
6,6,2,38,38,MPO8-8,MPO56-8,0.2404,92/576,RECAL 1 3 6 2 2 38,RECAL 1 4 6 2 2 38,1#1x64(6)->1#MCS(2)->2#MCS(2)->2#1x64(38)
5,5,18,37,37,MPO8-6,MPO56-6,0.2094,90/576,RECAL 1 3 5 18 18 37,RECAL 1 4 5 18 18 37,1#1x64(5)->1#MCS(18)->2#MCS(18)->2#1x64(37)
